Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2017,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","421,943","418,315","483,082","465,788","494,621","481,729","475,374","490,324","469,710","476,014","497,748","558,215","5,732,863",
,Retail sales and food services excl motor vehicle and parts,"336,756","328,901","376,796","368,476","388,989","379,136","373,146","385,526","369,739","378,618","402,994","458,090","4,547,167",
,Retail sales and food services excl gasoline stations,"386,019","384,105","443,979","426,328","453,329","441,236","435,163","448,690","428,033","434,050","457,507","518,272","5,256,711",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"300,832","294,691","337,693","329,016","347,697","338,643","332,935","343,892","328,062","336,654","362,753","418,147","4,071,015",
,"Retail sales, total","368,960","365,480","422,891","407,165","434,450","423,034","416,900","431,822","412,578","417,830","442,077","497,027","5,040,214",
,"Retail sales, total (excl. motor vehicle and parts dealers)","283,773","276,066","316,605","309,853","328,818","320,441","314,672","327,024","312,607","320,434","347,323","396,902","3,854,518",
,GAFO(1),"89,665","90,295","103,318","100,738","104,278","103,200","102,606","108,670","100,576","102,945","118,959","149,727","1,274,977",
441,Motor vehicle and parts dealers,"85,187","89,414","106,286","97,312","105,632","102,593","102,228","104,798","99,971","97,396","94,754","100,125","1,185,696",
"4411,4412",Automobile and other motor vehicle dealers,"78,171","82,482","97,923","89,632","97,493","94,441","94,321","96,524","92,143","89,438","86,977","92,708","1,092,253",
4411,Automobile dealers,"74,592","77,677","91,087","82,252","89,606","86,383","87,356","89,966","86,444","84,382","82,631","88,211","1,020,587",
44111,New car dealers,"65,936","67,908","79,946","72,863","79,723","76,450","77,677","80,177","77,024","75,083","73,878","79,822","906,487",
44112,Used car dealers,"8,656","9,769","11,141","9,389","9,883","9,933","9,679","9,789","9,420","9,299","8,753","8,389","114,100",
4413,"Automotive parts, acc., and tire stores","7,016","6,932","8,363","7,680","8,139","8,152","7,907","8,274","7,828","7,958","7,777","7,417","93,443",
"442,443","Furniture, home furn, electronics, and appliance stores","15,441","15,096","17,310","15,399","16,729","16,749","16,467","17,501","16,970","16,815","20,405","22,851","207,733",
442,Furniture and home furnishings stores,"8,407","8,377","9,815","8,726","9,574","9,522","9,396","10,033","9,676","9,647","10,702","11,434","115,309",
4421,Furniture stores,"4,646","4,757","5,476","4,749","5,140","5,084","5,104","5,229","5,189","5,050","5,464","5,400","61,288",
4422,Home furnishings stores,"3,761","3,620","4,339","3,977","4,434","4,438","4,292","4,804","4,487","4,597","5,238","6,034","54,021",
