Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2017,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL,
44221,Floor covering stores,"1,459","1,510",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,181","1,980","2,317","2,117","2,401","2,308","2,319","2,564","2,299","2,338","3,046","4,006","29,876",
443,Electronics and appliance stores,"7,034","6,719","7,495","6,673","7,155","7,227","7,071","7,468","7,294","7,168","9,703","11,417","92,424",
443141,Household appliance stores,"1,302","1,290","1,493","1,350","1,453","1,448","1,396","1,387","1,385","1,360","1,510","1,432","16,806",
443142,Electronics stores,"5,732","5,429","6,002","5,323","5,702","5,779","5,675","6,081","5,909","5,808","8,193","9,985","75,618",
444,Building mat. and garden equip. and supplies dealers,"22,389","22,494","29,230","31,259","35,632","33,437","30,060","30,304","28,978","29,672","29,182","26,728","349,365",
4441,Building mat. and supplies dealers,"20,256","19,963","25,217","25,962","29,761","28,839","26,497","27,031","26,017","26,536","25,953","23,439","305,471",
44412,Paint and wallpaper stores,747,772,978,935,"1,082","1,115","1,044","1,124","1,015","1,039",897,788,"11,536",
44413,Hardware stores,"1,781","1,696","2,127","2,208","2,441","2,392","2,194","2,248","2,161","2,264","2,153","2,226","25,891",
445,Food and beverage stores,"57,800","54,492","60,237","59,605","62,115","60,545","61,611","61,414","60,283","60,762","62,093","67,886","728,843",
4451,Grocery stores,"52,552","49,212","54,366","53,635","55,709","54,191","55,159","55,083","54,142","54,561","55,443","59,125","653,178",
44511,Supermarkets and other grocery (except convenience) stores,"50,497","47,201","52,090","51,267","53,223","51,771","52,679","52,628","51,676","52,095","53,089","56,756","624,972",
4453,"Beer, wine, and liquor stores","3,578","3,606","4,074","4,077","4,456","4,482","4,598","4,452","4,346","4,343","4,638","5,972","52,622",
446,Health and personal care stores,"25,715","24,718","27,499","25,819","27,376","26,848","25,966","27,609","26,551","27,761","27,402","30,602","323,866",
44611,Pharmacies and drug stores,"21,723","20,599","22,640","21,612","23,007","22,345","21,610","22,820","21,944","23,386","22,676","24,692","269,054",
447,Gasoline stations,"35,924","34,210","39,103","39,460","41,292","40,493","40,211","41,634","41,677","41,964","40,241","39,943","476,152",
448,Clothing and clothing access. stores,"15,907","18,020","21,332","21,143","21,945","20,618","20,795","22,775","19,909","20,469","24,560","33,923","261,396",
4481,Clothing stores,"11,843","12,703","15,785","15,683","16,005","15,397","15,368","16,356","14,713","15,361","18,393","23,501","191,108",
44811,Men's clothing stores,622,644,797,834,873,803,688,719,759,745,786,"1,026","9,296",
44812,Women's clothing stores,"2,373","2,668","3,364","3,496","3,487","3,220","3,083","3,173","3,007","3,179","3,638","4,524","39,212",
44814,Family clothing stores,"6,024","6,542","8,372","8,440","8,623","8,388","8,711","9,125","8,079","8,628","10,639","13,641","105,212",
44819,Other clothing stores,"1,502","1,444","1,579","1,376","1,479","1,494","1,385","1,576","1,362","1,297","1,513","1,815","17,822",
4482,Shoe stores,"2,143","2,674","3,233","3,076","2,918","2,765","2,976","3,925","2,754","2,646","3,078","4,144","36,332",
44831,Jewelry stores,"1,742","2,435","2,101","2,172","2,746","2,237","2,204","2,263","2,215","2,231","2,810","5,832","30,988",
451,"Sporting goods, hobby, musical instrument, and book stores","6,215","5,549","6,623","6,339","6,552","6,716","6,499","7,639","6,722","6,349","7,794","10,899","83,896",
45111,Sporting goods stores,"2,955","3,030","3,780","3,645","3,802","4,108","3,916","4,225","3,573","3,402","3,999","5,530","45,965",
45112,"Hobby, toy, and game stores","1,182","1,181","1,355","1,278","1,247","1,178","1,193","1,243","1,348","1,445","2,239","3,258","18,147",
451211,Book stores,"1,380",672,690,712,766,685,647,"1,370",976,654,663,"1,114","10,329",
452,General merchandise stores,"49,906","49,571","55,762","55,651","56,603","56,738","56,386","57,880","54,481","56,416","63,781","78,716","691,891",
4521,Department stores,"9,386","9,909","11,630","11,460","11,833","11,587","11,332","12,170","10,891","11,176","14,897","20,383","146,654",
452111,Department stores(excl. discount department stores),"2,847","3,266","3,768","3,789","3,983","3,665","3,516","3,608","3,557","3,586","4,907","7,943","48,435",
452112,Discount dept. stores,"6,539","6,643","7,862","7,671","7,850","7,922","7,816","8,562","7,334","7,590","9,990","12,440","98,219",
4529,Other general merchandise stores,"40,520",39662,44132,"44,191","44,770","45,151","45,054","45,710","43,590","45,240","48,884","58,333","545,237",
45291,Warehouse clubs and superstores,"35,225","34,246","37,986","38,044","38,470","38,860","38,973","39,541","37,601","39,009","42,138","50,087","470,180",
45299,All other gen. merchandise stores,"5,295","5,416","6,146","6,147","6,300","6,291","6,081","6,169","5,989","6,231","6,746","8,246","75,057",
453,Miscellaneous store retailers,"8,654","8,804","9,919","9,692","11,205","10,517","10,265","10,750","10,198","10,679","10,763","11,736","123,182",
4532,"Office supplies, stationery, and gift stores","2,196","2,059","2,291","2,206","2,449","2,379","2,459","2,875","2,494","2,896","2,419","3,338","30,061",
45321,Office supplies and stationery stores,"1,186",971,"1,058",920,961,897,926,"1,390","1,076",941,919,"1,016","12,261",
45322,"Gift, novelty, and souvenir stores","1,010","1,088","1,233","1,286","1,488","1,482","1,533","1,485","1,418","1,955","1,500","2,322","17,800",
45330,Used merchandise stores,"1,226","1,249","1,426","1,321","1,388","1,324","1,380","1,455","1,425","1,562","1,483","1,500","16,739",
454,Nonstore retailers,"45,822","43,112","49,590","45,486","49,369","47,780","46,412","49,518","46,838","49,547","61,102","73,618","608,194",
4541,Electronic shopping and mail-order houses,"38,057","35,954","41,820","39,274","42,753","41,570","40,756","43,216","40,559","42,667","53,288","64,725","524,639",
45431,Fuel dealers,"3,943","3,375","3,371","2,129","1,914","1,632","1,472","1,707","1,854","2,362","3,243","4,431","31,433",
722,Food services and drinking places,"52,983","52,835","60,191","58,623","60,171","58,695","58,474","58,502","57,132","58,184","55,671","61,188","692,649",
7224,Drinking places,"1,977","1,955","2,278","2,119","2,182","2,098","2,157","2,104","2,160","2,204","2,071","2,231","25,536",
7225,Restaurants and other eating places,"46,503","45,966","52,531","50,905","52,503","51,666","51,817","51,564","49,019","49,968","48,097","53,589","604,128",
722511,Full service restaurants,"23,690","23,611","26,690","25,741","26,175","25,482","25,360","25,120","23,977","24,361","23,783","27,777","301,767",
"722513, 722514, 722515",Limited service eating places,"22,813","22,355","25,841","25,164","26,328","26,184","26,457","26,444","25,042","25,607","24,314","25,812","302,361",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","473,484","472,995","471,999","474,363","472,010","473,768","473,959","474,703","484,385","485,059","490,007","492,401",,
,Retail sales and food services excl motor vehicle and parts,"374,064","374,178","375,294","376,910","374,147","375,072","375,038","378,044","383,436","383,559","389,394","392,021",,
,Retail sales and food services excl gasoline stations,"433,613","432,889","432,220","434,824","433,953","436,135","436,414","435,938","443,565","444,119","448,002","449,681",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"334,193","334,072","335,515","337,371","336,090","337,439","337,493","339,279","342,616","342,619","347,389","349,301",,
,"Retail sales, total","416,081","415,503","414,620","416,889","414,540","416,505","416,744","417,179","426,501","426,933","431,158","433,282",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","316,661","316,686","317,915","319,436","316,677","317,809","317,823","320,520","325,552","325,433","330,545","332,902",,
,GAFO(1),"106,705","105,280","105,919","106,260","104,964","106,239","105,493","106,019","106,820","106,824","107,562","107,690",,
441,Motor vehicle and parts dealers,"99,420","98,817","96,705","97,453","97,863","98,696","98,921","96,659","100,949","101,500","100,613","100,380",,
"4411,4412",Automobile and other motor vehicle dealers,"91,642","91,140","88,940","89,632","90,104","90,984","91,131","88,962","93,074","93,751","92,726","92,247",,
4413,"Automotive parts, acc., and tire stores","7,778","7,677","7,765","7,821","7,759","7,712","7,790","7,697","7,875","7,749","7,887","8,133",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,195","17,107","17,400","17,285","17,251","17,242","17,108","17,198","17,158","17,512","17,775","17,758",,
442,Furniture and home furnishings stores,"9,499","9,498","9,576","9,434","9,507","9,570","9,529","9,601","9,496","9,804","9,937","9,960",,
443,Electronics and appliance stores,"7,696","7,609","7,824","7,851","7,744","7,672","7,579","7,597","7,662","7,708","7,838","7,798",,
444,Building mat. and garden equip. and supplies dealers,"28,685","28,943","28,755","29,063","28,764","28,720","28,838","28,843","29,763","29,561","29,948","30,044",,
4441,Building mat. and supplies dealers,"25,383","25,398","25,117","25,279","25,051","25,056","25,068","25,145","26,148","25,965","26,295","26,306",,
445,Food and beverage stores,"59,561","59,832","60,322","60,461","60,614","60,413","60,443","60,762","61,331","61,563","61,766","62,282",,
4451,Grocery stores,"53,298","53,608","54,096","54,177","54,297","54,137","54,184","54,430","55,022","55,168","55,332","55,884",,
4453,"Beer, wine and liquor stores","4,332","4,298","4,316","4,374","4,386","4,377","4,371","4,399","4,408","4,482","4,477","4,453",,
446,Health and personal care stores,"26,160","26,436","26,569","26,755","26,761","26,983","27,020","27,336","27,372","27,568","27,763","27,669",,
44611,Pharmacies and drug stores,"21,658","21,867","22,066","22,212","22,337","22,571","22,417","22,661","22,858","22,972","22,998","22,969",,
447,Gasoline stations,"39,871","40,106","39,779","39,539","38,057","37,633","37,545","38,765","40,820","40,940","42,005","42,720",,
448,Clothing and clothing access. stores,"22,025","21,654","21,760","21,777","21,648","21,791","21,619","21,779","21,897","21,796","22,068","21,760",,
4481,Clothing stores,"16,167","15,887","15,940","15,969","15,871","15,973","15,771","15,893","15,912","15,871","16,062","15,906",,
44811,Men's clothing stores,801,784,828,770,799,799,776,762,778,752,739,745,,
44812,Women's clothing stores,"3,328","3,290","3,263","3,336","3,250","3,326","3,304","3,238","3,209","3,218","3,260","3,257",,
4482,Shoe stores,"3,088","3,015","3,076","3,073","2,993","3,022","2,976","3,040","3,046","2,986","3,030","3,005",,
44831,Jewelry stores,"2,558","2,515","2,516","2,508","2,531","2,554","2,611","2,589","2,682","2,675","2,702","2,597",,
451,"Sporting goods, hobby, musical instrument, and book stores","7,227","7,051","6,964","7,028","6,948","6,945","6,841","6,913","7,002","7,031","7,144","7,059",,
452,General merchandise stores,"57,695","56,965","57,274","57,655","56,600","57,767","57,438","57,654","58,294","57,996","58,065","58,591",,
4521,Department stores,"12,565","12,394","12,390","12,403","12,309","12,341","12,170","12,158","12,196","12,072","12,057","11,963",,
4529,Other general merchandise stores,"45,130","44,571","44,884","45,252","44,291","45,426","45,268","45,496","46,098","45,924","46,008","46,628",,
45291,Warehouse clubs and superstores,"38,966","38,479","38,682","38,980","38,127","39,173","38,973","39,227","39,747","39,643","39,715","40,231",,
45299,All other gen. merchandise stores,"6,164","6,092","6,202","6,272","6,164","6,253","6,295","6,269","6,351","6,281","6,293","6,397",,
453,Miscellaneous stores retailers,"10,110","10,280","10,189","10,249","10,043","10,048","10,258","10,235","10,354","10,392","10,590","10,656",,
454,Nonstore retailers,"48,132","48,312","48,903","49,624","49,991","50,267","50,713","51,035","51,561","51,074","53,421","54,363",,
4541,Electronic shopping and mail order houses,"41,456","41,662","42,157","42,922","43,098","43,438","43,918","44,008","44,424","44,077","46,017","46,733",,
45431,Fuel dealers,"2,425","2,414","2,516","2,523","2,615","2,530","2,486","2,579","2,645","2,559","2,896","3,123",,
722,Food services and drinking places,"57,403","57,492","57,379","57,474","57,470","57,263","57,215","57,524","57,884","58,126","58,849","59,119",,
 ,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
