Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2003,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2003,Feb. 2003,Mar. 2003,Apr. 2003,May 2003,Jun. 2003,Jul. 2003,Aug. 2003,Sep. 2003,Oct. 2003,Nov. 2003,Dec. 2003,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","268,328","259,051","293,693","294,251","312,389","300,998","309,923","317,056","293,890","304,036","301,265","357,577","3,612,457",,
,Retail sales and food services excl motor vehicle and parts,"206,194","198,030","221,829","221,855","235,659","226,376","231,445","239,394","223,768","235,903","239,588","290,828","2,770,869",,
,Retail sales and food services excl gasoline stations,"247,124","238,199","269,821","271,422","289,096","278,197","285,929","292,091","270,490","280,391","279,319","335,191","3,337,270",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"184,990","177,178","197,957","199,026","212,366","203,575","207,451","214,429","200,368","212,258","217,642","268,442","2,495,682",,
,"Retail sales, total","242,271","233,478","264,532","265,990","281,482","271,242","279,323","285,212","265,331","273,781","272,396","327,693","3,262,731",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","180,137","172,457","192,668","193,594","204,752","196,620","200,845","207,550","195,209","205,648","210,719","260,944","2,421,143",,
,GAFO(1),"65,160","64,466","71,997","71,294","76,942","73,813","74,664","82,179","72,786","77,420","88,885","126,508","946,114",,
441,Motor vehicle and parts dealers,"62,134","61,021","71,864","72,396","76,730","74,622","78,478","77,662","70,122","68,133","61,677","66,749","841,588",,
"4411,4412",Automobile and other motor vehicle dealers,"57,364","56,368","66,594","66,968","71,174","69,078","72,642","71,996","64,633","62,411","56,568","61,576","777,372",,
4411,Automobile dealers,"54,379","53,150","61,877","61,336","65,092","63,414","66,899","66,850","60,369","58,079","53,065","57,750","722,260",,
44111,New car dealers,"49,170","47,673","56,000","55,764","59,506","58,090","61,433","61,356","55,297","53,065","48,537","53,314","659,205",,
44112,Used car dealers,"5,209","5,477","5,877","5,572","5,586","5,324","5,466","5,494","5,072","5,014","4,528","4,436","63,055",,
