Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1997,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May 1997,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","200,389","197,556","225,133","220,329","234,190","227,365","231,521","235,252","222,807","232,251","228,284","271,054","2,726,131",,
,Retail sales and food services excl motor vehicle and parts,"151,994","147,430","167,468","164,024","176,251","169,901","173,049","177,182","167,947","176,680","179,711","220,677","2,072,314",,
,Retail sales and food services excl gasoline stations,"184,433","182,644","208,571","203,965","216,874","210,316","214,043","217,519","206,016","215,089","212,278","254,683","2,526,431",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"136,038","132,518","150,906","147,660","158,935","152,852","155,571","159,449","151,156","159,518","163,705","204,306","1,872,614",,
,"Retail sales, total","181,073","178,428","203,750","199,219","211,516","205,491","208,856","211,952","201,415","210,145","207,533","249,389","2,468,767",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","132,678","128,302","146,085","142,914","153,577","148,027","150,384","153,882","146,555","154,574","158,960","199,012","1,814,950",,
,GAFO(1),"47,409","47,286","55,045","52,639","57,737","55,641","55,712","60,967","55,307","59,385","67,945","98,314","713,387",,
441,Motor vehicle and parts dealers,"48,395","50,126","57,665","56,305","57,939","57,464","58,472","58,070","54,860","55,571","48,573","50,377","653,817",,
"4411,4412",Automobile and other motor vehicle dealers,"44,005","45,910","52,878","51,308","52,905","52,422","53,165","52,861","49,851","50,341","43,827","45,800","595,273",,
