Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2001,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2001,Feb. 2001,Mar. 2001,Apr. 2001,May 2001,Jun. 2001,Jul. 2001,Aug. 2001,Sep. 2001,Oct. 2001,Nov. 2001,Dec. 2001,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","250,746","247,772","280,449","274,925","296,013","287,881","279,098","294,763","261,924","291,596","287,537","326,202","3,378,906",,
,Retail sales and food services excl motor vehicle and parts,"191,485","186,254","209,049","207,647","221,671","215,142","210,053","221,436","200,982","212,062","222,341","265,205","2,563,327",,
,Retail sales and food services excl gasoline stations,"230,657","228,837","259,652","253,264","272,163","264,637","257,026","272,110","240,545","271,162","269,100","308,370","3,127,523",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"171,396","167,319","188,252","185,986","197,821","191,898","187,981","198,783","179,603","191,628","203,904","247,373","2,311,944",,
,"Retail sales, total","226,791","223,971","253,439","249,062","268,658","260,315","251,504","266,460","236,210","265,188","262,004","298,666","3,062,268",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","167,530","162,453","182,039","181,784","194,316","187,576","182,459","193,133","175,268","185,654","196,808","237,669","2,246,689",,
,GAFO(1),"60,886","60,888","68,273","67,528","71,133","69,654","67,991","75,761","66,261","70,307","84,413","119,605","882,700",,
441,Motor vehicle and parts dealers,"59,261","61,518","71,400","67,278","74,342","72,739","69,045","73,327","60,942","79,534","65,196","60,997","815,579",,
"4411,4412",Automobile and other motor vehicle dealers,"54,751","57,070","66,213","62,174","68,857","67,292","63,657","67,607","56,032","74,222","60,256","56,356","754,487",,
4411,Automobile dealers,"51,954","54,168","62,034","57,327","63,534","62,193","58,994","63,267","52,943","70,850","57,131","53,281","707,676",,
44111,New car dealers,"47,306","49,251","56,675","52,336","58,144","57,024","54,088","58,125","48,652","65,947","52,687","49,178","649,413",,
44112,Used car dealers,"4,648","4,917","5,359","4,991","5,390","5,169","4,906","5,142","4,291","4,903","4,444","4,103","58,263",,
4413,"Automotive parts, acc., and tire stores","4,510","4,448","5,187","5,104","5,485","5,447","5,388","5,720","4,910","5,312","4,940","4,641","61,092",,
