Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2008,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2008,Feb. 2008,Mar. 2008,Apr. 2008,May 2008,Jun. 2008,Jul. 2008,Aug. 2008,Sep. 2008,Oct. 2008,Nov. 2008,Dec. 2008,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","342,639","343,893","372,907","368,920","397,956","378,507","383,726","382,862","350,542","349,847","335,545","384,236","4,391,580",,
,Retail sales and food services excl motor vehicle and parts,"276,796","274,863","296,293","295,184","321,829","309,079","314,049","313,186","290,053","294,821","287,679","331,883","3,605,715",,
,Retail sales and food services excl gasoline stations,"303,949","306,277","330,681","325,257","349,444","328,422","331,998","333,794","305,360","309,222","305,676","357,861","3,887,941",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"238,106","237,247","254,067","251,521","273,317","258,994","262,321","264,118","244,871","254,196","257,810","305,508","3,102,076",,
,"Retail sales, total","307,576","308,171","334,416","331,002","357,277","339,791","344,158","342,443","313,308","311,422","299,238","346,513","3,935,315",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","241,733","239,141","257,802","257,266","281,150","270,363","274,481","272,767","252,819","256,396","251,372","294,160","3,149,450",,
,GAFO(1),"82,944","85,539","91,761","87,462","97,590","92,346","92,496","98,336","84,961","88,650","101,013","133,278","1,136,376",,
441,Motor vehicle and parts dealers,"65,843","69,030","76,614","73,736","76,127","69,428","69,677","69,676","60,489","55,026","47,866","52,353","785,865",,
"4411,4412",Automobile and other motor vehicle dealers,"60,169","63,205","70,321","67,336","69,485","62,743","62,742","63,088","54,121","48,293","41,843","46,201","709,547",,
4411,Automobile dealers,"56,319","58,684","64,382","60,804","62,079","56,153","56,522","57,661","49,995","44,704","38,987","43,215","649,505",,
44111,New car dealers,"49,775","51,502","57,091","53,864","55,396","49,500","50,236","51,435","44,333","39,272","34,535","38,654","575,593",,
44112,Used car dealers,"6,544","7,182","7,291","6,940","6,683","6,653","6,286","6,226","5,662","5,432","4,452","4,561","73,912",,
4413,"Automotive parts, acc., and tire stores","5,674","5,825","6,293","6,400","6,642","6,685","6,935","6,588","6,368","6,733","6,023","6,152","76,318",,
"442,443","Furniture, home furn, electronics, and appliance stores","16,843","16,813","16,910","15,987","17,438","16,752","17,302","17,473","15,723","15,501","18,055","22,307","207,104",,
442,Furniture and home furnishings stores,"8,163","8,104","8,381","8,029","8,604","8,117","8,495","8,456","7,676","7,712","8,121","8,862","98,720",,
4421,Furniture stores,"4,597","4,658","4,701","4,406","4,714","4,262","4,425","4,630","4,100","3,982","4,096","4,137","52,708",,
4422,Home furnishings stores,"3,566","3,446","3,680","3,623","3,890","3,855","4,070","3,826","3,576","3,730","4,025","4,725","46,012",,
44221,Floor covering stores,"1,475","1,472","1,615","1,594","1,708","1,673","1,741","1,627","1,593","1,602","1,380","1,284","18,764",,
442299,All other home furnishings stores,"1,964","1,839","1,932","1,888","2,050","2,054","2,181","2,070","1,856","2,001","2,526","3,335","25,696",,
443,Electronics and appliance stores,"8,680","8,709","8,529","7,958","8,834","8,635","8,807","9,017","8,047","7,789","9,934","13,445","108,384",,
443141,Household appliance stores,"1,316","1,362","1,369","1,392","1,468","1,493","1,491","1,413","1,338","1,334","1,440","1,572","16,988",,
443142,Electronics stores,"7,364","7,347","7,160","6,566","7,366","7,142","7,316","7,604","6,709","6,455","8,494","11,873","91,396",,
444,Building mat. and garden equip. and supplies dealers,"20,551","20,311","23,894","28,686","31,911","29,255","28,610","25,409","25,079","25,728","21,708","20,691","301,833",,
4441,Building mat. and supplies dealers,"18,677","18,247","20,722","24,370","26,291","24,818","25,033","22,746","22,364","22,797","18,968","18,049","263,082",,
44412,Paint and wallpaper stores,674,664,749,825,890,885,957,901,845,838,622,565,"9,415",,
44413,Hardware stores,"1,416","1,335","1,531","1,794","2,067","1,951","1,780","1,681","1,593","1,675","1,592","1,657","20,072",,
445,Food and beverage stores,"45,794","44,062","47,064","45,386","49,605","47,134","49,156","49,035","46,028","47,737","47,675","50,600","569,276",,
4451,Grocery stores,"41,864","39,915","42,590","40,966","44,549","42,299","44,057","44,010","41,378","42,811","42,751","44,032","511,222",,
44511,Supermarkets and other grocery (except convenience) stores,"40,060","38,147","40,692","39,083","42,481","40,261","41,942","41,935","39,465","41,013","41,088","42,373","488,540",,
4453,"Beer, wine, and liquor stores","2,675","2,806","2,989","2,997","3,420","3,279","3,517","3,472","3,151","3,351","3,386","4,461","39,504",,
446,Health and personal care stores,"20,200","20,056","20,755","20,051","20,906","20,046","20,434","20,249","19,993","20,886","19,833","23,164","246,573",,
