Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1998,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1998,Feb. 1998,Mar. 1998,Apr. 1998,May 1998,Jun. 1998,Jul. 1998,Aug. 1998,Sep. 1998,Oct. 1998,Nov. 1998,Dec. 1998,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","207,853","203,863","230,313","234,503","245,027","244,067","241,431","240,462","231,243","244,234","240,991","288,969","2,852,956",,
,Retail sales and food services excl motor vehicle and parts,"158,132","153,119","170,482","174,475","182,817","179,213","181,661","182,720","174,613","184,751","188,435","234,123","2,164,541",,
,Retail sales and food services excl gasoline stations,"192,618","189,800","214,955","218,816","228,247","227,337","224,137","223,644","215,384","227,824","225,618","272,849","2,661,229",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"142,897","139,056","155,124","158,788","166,037","162,483","164,367","165,902","158,754","168,341","173,062","218,003","1,972,814",,
,"Retail sales, total","187,445","183,767","207,973","212,262","221,155","220,867","217,687","216,605","208,915","220,499","218,969","265,618","2,581,762",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","137,724","133,023","148,142","152,234","158,945","156,013","157,917","158,863","152,285","161,016","166,413","210,772","1,893,347",,
,GAFO(1),"50,777","50,744","56,790","58,363","61,136","59,553","59,602","63,575","58,678","62,784","71,608","104,326","757,936",,
441,Motor vehicle and parts dealers,"49,721","50,744","59,831","60,028","62,210","64,854","59,770","57,742","56,630","59,483","52,556","54,846","688,415",,
"4411,4412",Automobile and other motor vehicle dealers,"45,243","46,390","54,803","54,934","57,069","59,574","54,406","52,517","51,555","54,167","47,787","49,971","628,416",,
4411,Automobile dealers,"43,371","44,090","51,772","51,484","53,328","55,940","50,755","49,441","48,698","51,277","45,679","47,666","593,501",,
44111,New car dealers,"39,690","39,936","47,249","47,084","48,972","51,217","46,220","44,965","44,560","46,742","41,949","43,975","542,559",,
44112,Used car dealers,"3,681","4,154","4,523","4,400","4,356","4,723","4,535","4,476","4,138","4,535","3,730","3,691","50,942",,
4413,"Automotive parts, acc., and tire stores","4,478","4,354","5,028","5,094","5,141","5,280","5,364","5,225","5,075","5,316","4,769","4,875","59,999",,
"442,443","Furniture, home furn, electronics, and appliance stores","12,293","11,583","12,577","11,985","12,439","12,788","13,127","13,429","12,789","13,161","14,613","19,359","160,143",,
442,Furniture and home furnishings stores,"5,822","5,581","6,162","6,038","6,225","6,310","6,466","6,502","6,329","6,693","7,186","8,098","77,412",,
4421,Furniture stores,"3,569","3,375","3,657","3,468","3,622","3,606","3,660","3,673","3,603","3,734","3,975","4,168","44,110",,
4422,Home furnishings stores,"2,253","2,206","2,505","2,570","2,603","2,704","2,806","2,829","2,726","2,959","3,211","3,930","33,302",,
44221,Floor covering stores,"1,153","1,178","1,358","1,413","1,367","1,465","1,458","1,479","1,498","1,578","1,496","1,518","16,961",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"6,471","6,002","6,415","5,947","6,214","6,478","6,661","6,927","6,460","6,468","7,427","11,261","82,731",,
443141,Household appliance stores,830,769,853,839,921,999,"1,043",962,889,932,947,"1,115","11,099",,
443142,Electronics stores,"5,641","5,233","5,562","5,108","5,293","5,479","5,618","5,965","5,571","5,536","6,480","10,146","71,632",,
444,Building mat. and garden equip. and supplies dealers,"13,303","13,298","16,065","18,342","19,145","19,008","18,249","17,036","17,301","17,934","16,167","16,575","202,423",,
4441,Building mat. and supplies dealers,"11,400","11,326","13,453","14,815","15,323","16,078","15,875","15,048","15,191","15,676","14,025","13,991","172,201",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,972,900,"1,104","1,321","1,421","1,422","1,352","1,307","1,292","1,296","1,221","1,357","14,965",,
445,Food and beverage stores,"33,440","30,661","33,392","33,926","35,722","34,351","36,390","35,388","34,037","35,421","34,557","39,240","416,525",,
4451,Grocery stores,"30,679","27,947","30,501","30,826","32,456","31,215","33,067","32,220","31,005","32,214","31,377","34,681","378,188",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,846","1,768","1,894","1,963","2,140","2,059","2,209","2,118","2,031","2,163","2,154","3,037","25,382",,
446,Health and personal care stores,"10,185","9,761","10,445","10,609","10,730","10,651","10,763","10,755","10,458","10,995","10,805","13,426","129,583",,
