Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2011,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011,TOTAL,,
45111,Sporting goods stores,"2,414","2,456","3,266","3,246","3,169","3,505","3,334","3,623","3,011","2,746","3,227","4,998","38,995",,
45112,"Hobby, toy, and game stores",972,"1,030","1,201","1,192","1,073","1,069","1,089","1,074","1,151","1,252","1,964","3,052","16,119",,
451211,Book stores,"1,950",960,881,797,936,902,865,"2,142","1,335",751,797,"1,400","13,716",,
452,General merchandise stores,"44,322","45,804","49,675","50,480","51,435","50,906","50,660","51,266","48,238","50,877","57,197","73,906","624,766",,
4521,Department stores,"11,895","12,857","14,178","14,513","14,484","14,719","13,901","14,675","13,598","14,264","18,035","26,242","183,361",,
452111,Department stores(excl. discount department stores),"3,959","4,507","4,970","5,233","5,162","5,174","4,781","4,976","4,895","4,994","6,630","10,457","65,738",,
452112,Discount dept. stores,"7,936","8,350","9,208","9,280","9,322","9,545","9,120","9,699","8,703","9,270","11,405","15,785","117,623",,
4529,Other general merchandise stores,"32,427",32947,35497,"35,967","36,951","36,187","36,759","36,591","34,640","36,613","39,162","47,664","441,405",,
45291,Warehouse clubs and superstores,"28,851","28,956","31,017","31,432","32,353","31,560","32,369","32,240","30,322","32,069","34,024","41,150","386,343",,
45299,All other gen. merchandise stores,"3,576","3,991","4,480","4,535","4,598","4,627","4,390","4,351","4,318","4,544","5,138","6,514","55,062",,
453,Miscellaneous store retailers,"7,509","8,108","8,661","8,638","9,533","9,482","9,133","9,604","9,254","9,270","8,918","10,291","108,401",,
4532,"Office supplies, stationery, and gift stores","2,541","2,614","2,680","2,548","2,790","2,630","2,615","3,115","2,916","2,950","2,828","3,856","34,083",,
45321,Office supplies and stationery stores,"1,603","1,489","1,578","1,369","1,368","1,301","1,345","1,912","1,645","1,387","1,451","1,669","18,117",,
