Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2013,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2013,Feb. 2013,Mar. 2013,Apr. 2013,May 2013,Jun. 2013,Jul. 2013,Aug. 2013,Sep. 2013,Oct. 2013,Nov. 2013,Dec. 2013,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","375,468","373,974","421,748","408,551","437,214","414,816","422,532","435,215","396,415","415,942","424,095","477,362","5,003,332",
,Retail sales and food services excl motor vehicle and parts,"306,084","300,849","337,976","326,887","350,308","332,014","336,255","346,249","320,614","336,805","348,340","398,778","4,041,159",
,Retail sales and food services excl gasoline stations,"333,706","331,745","374,018","361,736","388,019","366,330","372,707","385,652","350,343","369,425","381,698","434,190","4,449,569",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"264,322","258,620","290,246","280,072","301,113","283,528","286,430","296,686","274,542","290,288","305,943","355,606","3,487,396",
,"Retail sales, total","333,663","332,471","374,171","362,978","389,709","369,355","377,031","388,299","352,749","369,868","378,800","430,754","4,459,848",
,"Retail sales, total (excl. motor vehicle and parts dealers)","264,279","259,346","290,399","281,314","302,803","286,553","290,754","299,333","276,948","290,731","303,045","352,170","3,497,675",
,GAFO(1),"86,297","89,304","100,628","92,422","100,605","96,807","96,603","104,854","93,006","98,325","112,537","142,384","1,213,772",
441,Motor vehicle and parts dealers,"69,384","73,125","83,772","81,664","86,906","82,802","86,277","88,966","75,801","79,137","75,755","78,584","962,173",
"4411,4412",Automobile and other motor vehicle dealers,"62,999","66,624","76,641","74,547","79,448","75,618","78,809","81,261","68,825","71,395","68,678","71,792","876,637",
4411,Automobile dealers,"59,981","63,193","71,700","69,013","73,193","69,762","73,343","75,873","64,594","67,373","65,195","68,648","821,868",
44111,New car dealers,"53,205","54,771","63,412","61,553","65,942","62,723","66,302","68,513","58,264","60,591","58,914","62,963","737,153",
44112,Used car dealers,"6,776","8,422","8,288","7,460","7,251","7,039","7,041","7,360","6,330","6,782","6,281","5,685","84,715",
4413,"Automotive parts, acc., and tire stores","6,385","6,501","7,131","7,117","7,458","7,184","7,468","7,705","6,976","7,742","7,077","6,792","85,536",
"442,443","Furniture, home furn, electronics, and appliance stores","15,471","15,361","16,179","14,692","15,752","15,457","16,078","16,906","15,744","16,139","19,244","22,247","199,270",
442,Furniture and home furnishings stores,"7,303","7,100","7,891","7,333","7,860","7,587","8,013","8,503","7,890","8,109","8,895","9,250","95,734",
4421,Furniture stores,"3,974","3,998","4,492","3,995","4,238","4,111","4,265","4,604","4,302","4,310","4,628","4,272","51,189",
4422,Home furnishings stores,"3,329","3,102","3,399","3,338","3,622","3,476","3,748","3,899","3,588","3,799","4,267","4,978","44,545",
44221,Floor covering stores,"1,209","1,181","1,301","1,304","1,443","1,419","1,518","1,604","1,494","1,559","1,492","1,359","16,883",
442299,All other home furnishings stores,"2,014","1,831","2,004","1,937","2,075","1,947","2,115","2,194","1,990","2,131","2,669","3,523","26,430",
443,Electronics and appliance stores,"8,168","8,261","8,288","7,359","7,892","7,870","8,065","8,403","7,854","8,030","10,349","12,997","103,536",
443141,Household appliance stores,"1,241","1,291","1,382","1,311","1,483","1,410","1,501","1,479","1,412","1,452","1,609","1,648","17,219",
443142,Electronics stores,"6,927","6,970","6,906","6,048","6,409","6,460","6,564","6,924","6,442","6,578","8,740","11,349","86,317",
444,Building mat. and garden equip. and supplies dealers,"19,284","18,638","23,118","28,750","32,626","27,664","27,370","26,001","24,177","26,000","23,747","22,186","299,561",
4441,Building mat. and supplies dealers,"17,033","16,372","19,735","23,775","26,416","23,379","23,878","23,012","21,382","22,833","20,828","19,049","257,692",
44412,Paint and wallpaper stores,659,624,738,832,906,862,921,935,822,834,683,595,"9,411",
44413,Hardware stores,"1,483","1,424","1,629","1,882","2,041","1,924","1,823","1,821","1,700","1,852","1,793","1,850","21,222",
445,Food and beverage stores,"51,652","48,596","54,260","50,388","55,266","53,261","54,534","55,121","51,749","53,747","54,764","58,208","641,546",
4451,Grocery stores,"47,095","43,863","48,910","45,367","49,615","47,840","48,871","49,387","46,601","48,396","49,026","50,505","575,476",
44511,Supermarkets and other grocery (except convenience) stores,"45,249","42,051","46,877","43,327","47,387","45,633","46,574","47,055","44,408","46,195","46,893","48,337","549,986",
4453,"Beer, wine, and liquor stores","3,143","3,212","3,603","3,464","3,916","3,776","3,994","4,056","3,588","3,741","4,007","5,147","45,647",
