Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2013,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2013,Feb. 2013,Mar. 2013,Apr. 2013,May 2013,Jun. 2013,Jul. 2013,Aug. 2013,Sep. 2013,Oct. 2013,Nov. 2013,Dec. 2013,TOTAL,
446,Health and personal care stores,"23,289","21,743","23,533","22,815","23,562","22,121","23,052","23,352","22,755","24,056","23,154","26,611","280,043",
44611,Pharmacies and drug stores,"19,799","18,170","19,552","19,075","19,692","18,422","19,324","19,401","19,047","20,286","19,361","21,849","233,978",
447,Gasoline stations,"41,762","42,229","47,730","46,815","49,195","48,486","49,825","49,563","46,072","46,517","42,397","43,172","553,763",
448,Clothing and clothing access. stores,"15,165","17,397","20,591","19,194","20,803","18,964","19,202","21,591","18,136","19,884","22,472","31,646","245,045",
4481,Clothing stores,"11,297","12,242","15,366","14,103","15,153","14,128","14,313","15,645","13,471","14,816","16,783","21,730","179,047",
44811,Men's clothing stores,603,566,690,728,761,691,662,704,699,807,821,"1,118","8,850",
44812,Women's clothing stores,"2,657","2,797","3,720","3,495","3,724","3,253","3,161","3,458","3,266","3,483","3,793","4,701","41,508",
44814,Family clothing stores,"5,655","6,309","7,971","7,293","7,981","7,485","7,857","8,365","7,070","8,000","9,283","11,994","95,263",
44819,Other clothing stores,"1,037","1,147","1,348","1,192","1,198","1,266","1,132","1,318","1,050","1,070","1,219","1,579","14,556",
4482,Shoe stores,"1,898","2,416","2,866","2,647","2,677","2,481","2,651","3,562","2,450","2,623","2,799","3,719","32,789",
44831,Jewelry stores,"1,792","2,545","2,144","2,244","2,719","2,137","2,018","2,149","2,001","2,232","2,657","5,781","30,419",
451,"Sporting goods, hobby, musical instrument, and book stores","6,526","5,586","6,622","5,952","6,377","6,500","6,445","7,711","6,333","6,053","7,531","11,150","82,786",
45111,Sporting goods stores,"3,071","3,015","3,831","3,427","3,656","3,953","3,818","4,158","3,229","3,160","3,748","5,511","44,577",
45112,"Hobby, toy, and game stores","1,029","1,079","1,250","1,117","1,127","1,067","1,118","1,156","1,172","1,351","2,156","3,298","16,920",
451211,Book stores,"1,660",742,707,664,821,724,705,"1,568","1,106",718,742,"1,323","11,480",
452,General merchandise stores,"46,639","48,542","54,707","50,122","54,971","53,381","52,095","55,384","50,059","53,095","60,571","74,009","653,575",
4521,Department stores,"11,307","12,042","13,922","12,562","14,037","13,339","12,611","14,159","12,517","13,332","16,905","23,827","170,560",
452111,Department stores(excl. discount department stores),"3,719","4,101","4,769","4,512","4,972","4,519","4,082","4,641","4,396","4,634","6,180","9,504","60,029",
452112,Discount dept. stores,"7,588","7,941","9,153","8,050","9,065","8,820","8,529","9,518","8,121","8,698","10,725","14,323","110,531",
4529,Other general merchandise stores,"35,332",36500,40785,"37,560","40,934","40,042","39,484","41,225","37,542","39,763","43,666","50,182","483,015",
45291,Warehouse clubs and superstores,"31,056","31,928","35,671","32,722","35,530","34,923","34,478","36,142","32,701","34,495","38,070","43,316","421,032",
45299,All other gen. merchandise stores,"4,276","4,572","5,114","4,838","5,404","5,119","5,006","5,083","4,841","5,268","5,596","6,866","61,983",
453,Miscellaneous store retailers,"8,078","8,159","8,901","8,909","10,318","9,263","9,353","9,856","9,270","10,044","9,480","10,471","112,102",
4532,"Office supplies, stationery, and gift stores","2,496","2,418","2,529","2,462","2,702","2,505","2,783","3,262","2,734","3,154","2,719","3,332","33,096",
45321,Office supplies and stationery stores,"1,544","1,367","1,363","1,302","1,257","1,151","1,290","1,783","1,419","1,304","1,309","1,459","16,548",
45322,"Gift, novelty, and souvenir stores",952,"1,051","1,166","1,160","1,445","1,354","1,493","1,479","1,315","1,850","1,410","1,873","16,548",
45330,Used merchandise stores,"1,173","1,142","1,270","1,198","1,265","1,237","1,300","1,391","1,221","1,416","1,317","1,220","15,150",
454,Nonstore retailers,"36,413","33,095","34,758","33,677","33,933","31,456","32,800","33,848","32,653","35,196","39,685","52,470","429,984",
4541,Electronic shopping and mail-order houses,"27,927","25,046","27,016","27,096","27,709","25,811","27,061","27,923","26,934","28,301","32,121","43,273","346,218",
45431,Fuel dealers,"5,017","4,633","4,016","2,875","2,199","1,783","1,900","1,974","2,232","3,014","3,738","5,256","38,637",
722,Food services and drinking places,"41,805","41,503","47,577","45,573","47,505","45,461","45,501","46,916","43,666","46,074","45,295","46,608","543,484",
7224,Drinking places,"1,692","1,672","2,020","1,764","1,844","1,714","1,707","1,795","1,710","1,818","1,773","1,722","21,231",
7225,Restaurants and other eating places,"36,471","36,042","41,455","39,287","41,186","39,908","40,100","41,016","37,362","39,267","38,945","40,635","471,674",
722511,Full service restaurants,"18,538","18,344","21,122","19,638","20,546","19,783","19,617","20,396","18,514","19,540","19,718","21,110","236,866",
"722513, 722514, 722515",Limited service eating places,"17,933","17,698","20,333","19,649","20,640","20,125","20,483","20,620","18,848","19,727","19,227","19,525","234,808",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","412,155","417,159","414,092","412,237","414,309","415,742","418,604","417,644","417,849","419,599","420,658","423,362",,
,Retail sales and food services excl motor vehicle and parts,"334,456","338,338","336,182","333,848","334,591","334,425","336,889","336,272","337,653","338,108","338,836","341,898",,
,Retail sales and food services excl gasoline stations,"366,111","368,113","366,505","366,068","368,716","369,914","372,598","372,006","372,097","374,524","375,935","376,690",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"288,412","289,292","288,595","287,679","288,998","288,597","290,883","290,634","291,901","293,033","294,113","295,226",,
,"Retail sales, total","367,009","372,291","369,081","367,514","369,493","371,041","373,554","372,489","372,505","373,663","373,914","377,032",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","289,310","293,470","291,171","289,125","289,775","289,724","291,839","291,117","292,309","292,172","292,092","295,568",,
,GAFO(1),"100,937","101,292","100,729","100,769","100,866","101,163","101,594","100,997","101,412","102,180","101,451","101,121",,
441,Motor vehicle and parts dealers,"77,699","78,821","77,910","78,389","79,718","81,317","81,715","81,372","80,196","81,491","81,822","81,464",,
"4411,4412",Automobile and other motor vehicle dealers,"70,706","71,716","70,898","71,405","72,622","74,281","74,630","74,211","73,063","74,215","74,488","74,089",,
4413,"Automotive parts, acc., and tire stores","6,993","7,105","7,012","6,984","7,096","7,036","7,085","7,161","7,133","7,276","7,334","7,375",,
"442,443","Furniture, home furn, electronics, and appliance stores","16,723","16,727","16,509","16,502","16,422","16,644","16,571","16,614","16,612","16,807","16,747","16,461",,
442,Furniture and home furnishings stores,"7,912","7,863","7,867","7,834","7,759","7,986","7,973","8,022","8,084","8,191","8,236","7,988",,
443,Electronics and appliance stores,"8,811","8,864","8,642","8,668","8,663","8,658","8,598","8,592","8,528","8,616","8,511","8,473",,
444,Building mat. and garden equip. and supplies dealers,"24,376","24,759","24,692","24,815","25,320","24,799","25,347","25,284","25,259","24,917","24,828","24,956",,
4441,Building mat. and supplies dealers,"20,848","21,098","21,175","21,458","21,724","21,449","21,648","21,730","21,708","21,541","21,450","21,427",,
445,Food and beverage stores,"52,654","53,230","53,103","52,733","53,253","53,217","53,618","53,693","53,820","53,943","54,066","54,606",,
4451,Grocery stores,"47,237","47,677","47,624","47,307","47,799","47,792","48,101","48,135","48,291","48,444","48,493","48,986",,
4453,"Beer, wine and liquor stores","3,742","3,788","3,765","3,757","3,787","3,757","3,829","3,848","3,837","3,810","3,857","3,861",,
446,Health and personal care stores,"23,173","23,008","23,049","22,953","23,055","23,043","23,308","23,305","23,728","23,771","23,772","23,824",,
44611,Pharmacies and drug stores,"19,430","19,248","19,282","19,171","19,212","19,250","19,402","19,479","19,924","19,791","19,878","19,917",,
447,Gasoline stations,"46,044","49,046","47,587","46,169","45,593","45,828","46,006","45,638","45,752","45,075","44,723","46,672",,
448,Clothing and clothing access. stores,"20,434","20,305","20,316","20,498","20,376","20,368","20,578","20,315","20,305","20,790","20,279","20,565",,
4481,Clothing stores,"15,103","14,885","14,838","14,906","14,946","14,919","15,128","14,880","14,808","15,049","14,745","14,940",,
44811,Men's clothing stores,775,697,714,718,714,700,746,752,740,784,768,758,,
44812,Women's clothing stores,"3,655","3,386","3,435","3,437","3,445","3,431","3,489","3,486","3,482","3,480","3,414","3,402",,
4482,Shoe stores,"2,596","2,618","2,676","2,780","2,704","2,714","2,759","2,742","2,737","2,857","2,747","2,800",,
44831,Jewelry stores,"2,520","2,573","2,574","2,585","2,490","2,502","2,455","2,448","2,517","2,645","2,555","2,591",,
451,"Sporting goods, hobby, musical instrument, and book stores","7,010","7,009","6,891","6,795","6,857","6,893","6,938","6,764","6,876","6,863","6,903","6,870",,
452,General merchandise stores,"54,074","54,534","54,236","54,198","54,453","54,447","54,636","54,466","54,836","54,919","54,770","54,662",,
4521,Department stores,"14,739","14,544","14,440","14,230","14,336","14,219","14,115","14,066","14,139","14,261","14,083","13,994",,
4529,Other general merchandise stores,"39,335","39,990","39,796","39,968","40,117","40,228","40,521","40,400","40,697","40,658","40,687","40,668",,
45291,Warehouse clubs and superstores,"34,316","34,932","34,733","34,848","34,936","35,063","35,290","35,192","35,429","35,416","35,447","35,447",,
45299,All other gen. merchandise stores,"5,019","5,058","5,063","5,120","5,181","5,165","5,231","5,208","5,268","5,242","5,240","5,221",,
453,Miscellaneous stores retailers,"9,223","9,276","9,367","9,322","9,319","9,169","9,209","9,304","9,502","9,488","9,555","9,393",,
454,Nonstore retailers,"35,599","35,576","35,421","35,140","35,127","35,316","35,628","35,734","35,619","35,599","36,449","37,559",,
4541,Electronic shopping and mail order houses,"28,820","28,624","28,528","28,284","28,419","28,552","28,819","28,876","28,961","28,703","29,042","29,761",,
45431,Fuel dealers,"3,033","3,182","3,215","3,219","3,012","2,967","3,016","2,977","3,074","3,217","3,523","3,809",,
722,Food services and drinking places,"45,146","44,868","45,011","44,723","44,816","44,701","45,050","45,155","45,344","45,936","46,744","46,330",,
,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
