Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1992,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1992,Feb. 1992,Mar. 1992,Apr. 1992,May 1992,Jun. 1992,Jul. 1992,Aug. 1992,Sep. 1992,Oct. 1992,Nov. 1992,Dec. 1992,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","146,376","147,079","159,336","163,669","170,068","168,663","169,890","170,364","164,617","173,655","171,547","208,838","2,014,102",,
,Retail sales and food services excl motor vehicle and parts,"116,565","115,862","124,200","127,587","133,608","130,274","132,076","134,928","128,734","136,917","139,187","175,771","1,595,709",,
,Retail sales and food services excl gasoline stations,"134,277","135,499","147,064","151,226","156,619","155,236","156,016","156,539","151,477","159,992","158,483","195,350","1,857,778",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"104,466","104,282","111,928","115,144","120,159","116,847","118,202","121,103","115,594","123,254","126,123","162,283","1,439,385",,
,"Retail sales, total","130,683","131,244","142,488","147,175","152,420","151,849","152,586","152,476","148,158","155,987","154,824","191,347","1,811,237",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","100,872","100,027","107,352","111,093","115,960","113,460","114,772","117,040","112,275","119,249","122,464","158,280","1,392,844",,
,GAFO(1),"33,906","35,220","38,731","40,548","42,213","40,990","40,956","44,642","41,474","44,896","51,222","78,590","533,388",,
441,Motor vehicle and parts dealers,"29,811","31,217","35,136","36,082","36,460","38,389","37,814","35,436","35,883","36,738","32,360","33,067","418,393",,
"4411,4412",Automobile and other motor vehicle dealers,"26,788","28,203","31,684","32,547","32,883","34,667","34,077","31,809","32,337","32,947","28,908","29,620","376,470",,
4411,Automobile dealers,"25,800","27,031","30,195","30,583","31,095","32,798","32,185","30,139","30,965","31,578","27,838","28,237","358,444",,
44111,New car dealers,"24,056","25,041","28,018","27,982","28,924","30,591","29,934","28,052","28,949","29,429","26,171","26,654","333,801",,
44112,Used car dealers,"1,744","1,990","2,177","2,601","2,171","2,207","2,251","2,087","2,016","2,149","1,667","1,583","24,643",,
4413,"Automotive parts, acc., and tire stores","3,023","3,014","3,452","3,535","3,577","3,722","3,737","3,627","3,546","3,791","3,452","3,447","41,923",,
"442,443","Furniture, home furn, electronics, and appliance stores","7,503","7,398","7,826","7,668","7,846","8,145","8,337","8,263","8,123","8,511","9,106","12,301","101,027",,
442,Furniture and home furnishings stores,"3,846","3,908","4,157","4,141","4,275","4,357","4,407","4,446","4,328","4,497","4,687","5,287","52,336",,
