Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2012,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2012,Feb. 2012,Mar. 2012,Apr. 2012,May 2012,Jun. 2012,Jul. 2012,Aug. 2012,Sep. 2012,Oct. 2012,Nov. 2012,Dec. 2012,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","355,184","372,401","414,149","392,949","418,608","400,975","396,026","417,922","385,609","399,400","411,065","462,102","4,826,390",,
,Retail sales and food services excl motor vehicle and parts,"292,916","302,072","332,992","319,458","338,812","325,021","320,787","337,194","314,291","327,099","341,371","387,883","3,939,896",,
,Retail sales and food services excl gasoline stations,"313,778","330,183","365,752","345,285","369,410","354,492","349,368","367,727","338,408","350,417","366,631","419,520","4,270,971",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"251,510","259,854","284,595","271,794","289,614","278,538","274,129","286,999","267,090","278,116","296,937","345,301","3,384,477",,
,"Retail sales, total","315,540","331,470","368,502","349,194","373,129","356,083","351,520","372,986","342,582","355,823","368,593","416,807","4,302,229",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","253,272","261,141","287,345","275,703","293,333","280,129","276,281","292,258","271,264","283,522","298,899","342,588","3,415,735",,
,GAFO(1),"83,395","91,209","98,747","91,719","97,833","95,541","93,547","101,703","91,915","93,919","109,571","142,744","1,191,843",,
441,Motor vehicle and parts dealers,"62,268","70,329","81,157","73,491","79,796","75,954","75,239","80,728","71,318","72,301","69,694","74,219","886,494",,
"4411,4412",Automobile and other motor vehicle dealers,"55,945","63,622","73,814","66,592","72,489","68,658","68,005","73,174","64,468","64,855","62,875","67,862","802,359",,
4411,Automobile dealers,"52,985","60,339","68,793","61,753","67,056","63,327","63,359","68,421","60,834","61,304","59,785","64,822","752,778",,
44111,New car dealers,"47,096","52,611","61,036","54,942","60,389","56,669","56,948","61,184","54,451","54,854","53,618","58,752","672,550",,
44112,Used car dealers,"5,889","7,728","7,757","6,811","6,667","6,658","6,411","7,237","6,383","6,450","6,167","6,070","80,228",,
4413,"Automotive parts, acc., and tire stores","6,323","6,707","7,343","6,899","7,307","7,296","7,234","7,554","6,850","7,446","6,819","6,357","84,135",,
"442,443","Furniture, home furn, electronics, and appliance stores","14,698","15,425","16,291","14,113","15,638","15,387","15,741","16,538","15,265","14,917","18,661","22,750","195,424",,
442,Furniture and home furnishings stores,"6,866","7,169","7,784","6,872","7,683","7,378","7,551","8,064","7,439","7,260","8,260","9,216","91,542",,
4421,Furniture stores,"3,897","4,325","4,440","3,799","4,193","4,075","4,145","4,370","4,128","3,792","4,236","4,352","49,752",,
4422,Home furnishings stores,"2,969","2,844","3,344","3,073","3,490","3,303","3,406","3,694","3,311","3,468","4,024","4,864","41,790",,
44221,Floor covering stores,"1,108","1,108","1,274","1,243","1,398","1,313","1,287","1,505","1,287","1,371","1,331","1,258","15,483",,
442299,All other home furnishings stores,"1,780","1,664","1,980","1,743","2,000","1,901","2,007","2,088","1,933","1,993","2,589","3,517","25,195",,
443,Electronics and appliance stores,"7,832","8,256","8,507","7,241","7,955","8,009","8,190","8,474","7,826","7,657","10,401","13,534","103,882",,
443141,Household appliance stores,"1,170","1,265","1,325","1,202","1,400","1,413","1,374","1,410","1,305","1,299","1,639","1,613","16,415",,
443142,Electronics stores,"6,662","6,991","7,182","6,039","6,555","6,596","6,816","7,064","6,521","6,358","8,762","11,921","87,467",,
444,Building mat. and garden equip. and supplies dealers,"17,980","18,500","24,156","25,989","29,379","25,774","23,921","24,169","22,324","24,658","23,510","21,173","281,533",,
4441,Building mat. and supplies dealers,"15,941","16,385","20,492","21,124","24,075","22,024","21,113","21,511","19,607","21,465","20,399","18,040","242,176",,
44412,Paint and wallpaper stores,584,621,754,755,851,868,869,925,825,814,696,572,"9,134",,
44413,Hardware stores,"1,419","1,359","1,705","1,917","2,208","1,934","1,730","1,699","1,551","1,752","1,742","1,731","20,747",,
445,Food and beverage stores,"49,834","48,850","52,549","50,842","53,955","52,702","52,868","53,442","51,123","52,236","52,904","56,900","628,205",,
4451,Grocery stores,"45,462","44,174","47,408","45,754","48,420","47,217","47,473","48,047","46,047","46,975","47,310","49,358","563,645",,
44511,Supermarkets and other grocery (except convenience) stores,"43,576","42,275","45,239","43,700","46,239","45,077","45,349","45,861","44,017","44,943","45,440","47,464","539,180",,
4453,"Beer, wine, and liquor stores","2,995","3,202","3,550","3,409","3,786","3,816","3,733","3,752","3,503","3,626","3,869","5,124","44,365",,
446,Health and personal care stores,"22,743","22,608","23,840","22,607","23,364","22,022","22,155","22,968","21,365","22,842","22,321","25,165","274,000",,
44611,Pharmacies and drug stores,"19,401","19,056","19,943","19,050","19,701","18,426","18,559","19,168","17,847","19,468","18,700","20,632","229,951",,
447,Gasoline stations,"41,406","42,218","48,397","47,664","49,198","46,483","46,658","50,195","47,201","48,983","44,434","42,582","555,419",,
448,Clothing and clothing access. stores,"14,358","17,931","20,162","18,601","19,952","18,717","18,266","20,750","18,391","18,845","22,016","31,504","239,493",,
4481,Clothing stores,"10,686","12,618","15,205","14,003","14,593","14,035","13,717","15,157","13,714","14,247","16,562","21,594","176,131",,
44811,Men's clothing stores,525,545,623,711,725,703,613,619,687,710,731,"1,080","8,272",,
44812,Women's clothing stores,"2,544","3,036","3,840","3,592","3,693","3,374","3,094","3,284","3,339","3,482","3,823","4,693","41,794",,
44814,Family clothing stores,"5,211","6,538","7,878","7,118","7,499","7,235","7,434","8,306","7,018","7,352","8,995","12,047","92,631",,
44819,Other clothing stores,"1,039","1,074","1,229","1,136","1,155","1,205","1,049","1,124","1,045","1,158","1,252","1,475","13,941",,
4482,Shoe stores,"1,851","2,545","2,719","2,480","2,495","2,339","2,425","3,299","2,431","2,328","2,673","3,454","31,039",,
44831,Jewelry stores,"1,674","2,607","2,056","1,953","2,673","2,146","1,943","2,115","2,044","2,060","2,542","6,049","29,862",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,049","5,520","6,536","5,967","6,361","6,600","6,213","7,682","6,290","5,845","7,109","10,987","81,159",,
45111,Sporting goods stores,"2,505","2,723","3,607","3,304","3,455","3,829","3,551","3,969","3,161","2,959","3,478","5,601","42,142",,
45112,"Hobby, toy, and game stores","1,072","1,192","1,270","1,156","1,186","1,130","1,123","1,126","1,158","1,275","1,945","2,987","16,620",,
451211,Book stores,"1,716",821,756,742,887,839,785,"1,836","1,097",717,755,"1,318","12,269",,
452,General merchandise stores,"45,643","49,639","53,115","50,602","53,095","52,280","50,734","53,680","49,325","51,395","59,008","73,797","642,313",,
4521,Department stores,"11,430","13,169","14,448","13,579","14,111","13,909","13,145","14,710","13,123","13,482","17,610","24,597","177,313",,
452111,Department stores(excl. discount department stores),"3,768","4,551","4,966","4,906","5,028","4,807","4,489","4,886","4,677","4,662","6,516","9,705","62,961",,
452112,Discount dept. stores,"7,662","8,618","9,482","8,673","9,083","9,102","8,656","9,824","8,446","8,820","11,094","14,892","114,352",,
4529,Other general merchandise stores,"34,213",36470,38667,"37,023","38,984","38,371","37,589","38,970","36,202","37,913","41,398","49,200","465,000",,
45291,Warehouse clubs and superstores,"30,180","31,989","33,676","32,346","33,976","33,616","32,994","34,261","31,725","33,048","36,037","42,461","406,309",,
45299,All other gen. merchandise stores,"4,033","4,481","4,991","4,677","5,008","4,755","4,595","4,709","4,477","4,865","5,361","6,739","58,691",,
453,Miscellaneous store retailers,"7,969","8,609","8,963","8,584","9,725","9,438","9,146","9,597","8,885","9,595","9,078","10,429","110,018",,
4532,"Office supplies, stationery, and gift stores","2,647","2,694","2,643","2,436","2,787","2,557","2,593","3,053","2,644","2,917","2,777","3,706","33,454",,
