Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2009,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2009,Feb. 2009,Mar. 2009,Apr. 2009,May 2009,Jun. 2009,Jul. 2009,Aug. 2009,Sep. 2009,Oct. 2009,Nov. 2009,Dec. 2009,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","310,188","299,412","328,526","329,854","347,728","344,405","348,071","353,392","324,646","338,610","339,363","400,281","4,064,476",,
,Retail sales and food services excl motor vehicle and parts,"260,095","249,406","271,393","273,915","289,996","284,883","285,771","287,210","272,523","283,744","289,339","344,429","3,392,704",,
,Retail sales and food services excl gasoline stations,"283,647","273,792","300,076","300,417","314,770","308,460","311,732","316,412","290,298","303,585","305,021","365,032","3,673,242",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"233,554","223,786","242,943","244,478","257,038","248,938","249,432","250,230","238,175","248,719","254,997","309,180","3,001,470",,
,"Retail sales, total","273,998","264,465","290,068","292,041","307,481","306,050","308,847","314,505","288,071","300,360","303,850","362,735","3,612,471",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","223,905","214,459","232,935","236,102","249,749","246,528","246,547","248,323","235,948","245,494","253,826","306,883","2,940,699",,
,GAFO(1),"81,348","80,415","84,735","84,743","90,415","85,806","86,616","92,055","83,173","88,123","97,840","132,928","1,088,197",,
441,Motor vehicle and parts dealers,"50,093","50,006","57,133","55,939","57,732","59,522","62,300","66,182","52,123","54,866","50,024","55,852","671,772",,
"4411,4412",Automobile and other motor vehicle dealers,"44,342","44,283","50,742","49,549","51,414","52,877","55,733","59,811","46,011","48,457","44,357","49,970","597,546",,
4411,Automobile dealers,"41,559","41,331","46,582","45,093","46,510","48,096","51,112","55,695","42,315","45,284","41,464","46,955","551,996",,
44111,New car dealers,"36,015","35,243","40,565","39,441","41,068","42,442","45,635","49,947","37,120","40,085","36,810","42,194","486,565",,
44112,Used car dealers,"5,544","6,088","6,017","5,652","5,442","5,654","5,477","5,748","5,195","5,199","4,654","4,761","65,431",,
