Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2016,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","401,911","415,093","460,910","451,121","470,116","464,721","462,004","471,690","448,516","453,155","467,232","539,667","5,506,136",
,Retail sales and food services excl motor vehicle and parts,"321,013","324,880","359,702","353,383","371,156","366,135","362,111","367,377","352,800","360,140","376,891","438,631","4,354,219",
,Retail sales and food services excl gasoline stations,"370,863","386,106","427,324","415,844","431,308","424,659","422,252","432,935","410,592","414,177","431,420","502,513","5,069,993",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"289,965","295,893","326,116","318,106","332,348","326,073","322,359","328,622","314,876","321,162","341,079","401,477","3,918,076",
,"Retail sales, total","351,890","363,622","405,050","394,766","413,047","410,045","405,935","416,449","394,147","397,337","413,872","482,053","4,848,213",
,"Retail sales, total (excl. motor vehicle and parts dealers)","270,992","273,409","303,842","297,028","314,087","311,459","306,042","312,136","298,431","304,322","323,531","381,017","3,696,296",
,GAFO(1),"89,674","94,702","104,199","98,659","103,979","102,162","102,899","107,380","98,485","101,847","114,768","148,877","1,267,631",
441,Motor vehicle and parts dealers,"80,898","90,213","101,208","97,738","98,960","98,586","99,893","104,313","95,716","93,015","90,341","101,036","1,151,917",
"4411,4412",Automobile and other motor vehicle dealers,"73,975","82,909","93,030","90,067","91,172","90,426","92,147","96,100","88,025","85,223","82,873","93,364","1,059,311",
4411,Automobile dealers,"70,393","78,320","86,386","83,117","84,037","83,087","85,623","89,924","82,567","80,503","78,752","89,247","991,956",
44111,New car dealers,"62,569","67,800","76,194","73,798","75,336","73,973","76,669","80,417","73,954","71,517","70,724","80,614","883,565",
44112,Used car dealers,"7,824","10,520","10,192","9,319","8,701","9,114","8,954","9,507","8,613","8,986","8,028","8,633","108,391",
4413,"Automotive parts, acc., and tire stores","6,923","7,304","8,178","7,671","7,788","8,160","7,746","8,213","7,691","7,792","7,468","7,672","92,606",
"442,443","Furniture, home furn, electronics, and appliance stores","15,555","15,986","16,967","15,464","16,342","16,618","16,726","17,560","17,082","16,231","19,282","22,420","206,233",
442,Furniture and home furnishings stores,"8,297","8,507","9,402","8,734","9,139","9,252","9,313","9,706","9,667","9,175","10,079","10,989","112,260",
4421,Furniture stores,"4,599","4,818","5,197","4,716","4,997","5,029","5,028","5,135","5,292","4,903","5,281","5,299","60,294",
4422,Home furnishings stores,"3,698","3,689","4,205","4,018","4,142","4,223","4,285","4,571","4,375","4,272","4,798","5,690","51,966",
44221,Floor covering stores,"1,457","1,503","1,780","1,727","1,751","1,882","1,803","1,936","1,864","1,795","1,725","1,685","20,908",
442299,All other home furnishings stores,"2,130","2,075","2,283","2,141","2,268","2,212","2,348","2,513","2,366","2,340","2,947","3,884","29,507",
443,Electronics and appliance stores,"7,258","7,479","7,565","6,730","7,203","7,366","7,413","7,854","7,415","7,056","9,203","11,431","93,973",
443141,Household appliance stores,"1,246","1,348","1,411","1,334","1,462","1,544","1,499","1,506","1,517","1,395","1,645","1,631","17,538",
443142,Electronics stores,"6,012","6,131","6,154","5,396","5,741","5,822","5,914","6,348","5,898","5,661","7,558","9,800","76,435",
444,Building mat. and garden equip. and supplies dealers,"21,408","22,538","29,101","31,497","33,652","33,120","29,112","28,866","27,778","27,464","27,433","25,818","337,787",
4441,Building mat. and supplies dealers,"19,154","20,032","24,796","26,164","28,033","28,214","25,917","25,904","24,875","24,509","24,629","22,759","294,986",
44412,Paint and wallpaper stores,677,755,931,944,983,"1,091","1,000","1,066","1,000",946,847,753,"10,993",
44413,Hardware stores,"1,746","1,757","2,123","2,159","2,268","2,211","2,067","2,097","1,943","2,051","1,917","2,100","24,439",
445,Food and beverage stores,"56,931","54,145","58,086","56,266","59,242","58,521","59,851","58,627","57,448","58,744","59,198","65,103","702,162",
4451,Grocery stores,"51,810","48,747","52,254","50,543","53,053","52,332","53,382","52,474","51,405","52,655","52,772","56,444","627,871",
44511,Supermarkets and other grocery (except convenience) stores,"49,846","46,788","50,065","48,356","50,698","49,936","50,825","50,021","49,106","50,393","50,625","54,287","600,946",
4453,"Beer, wine, and liquor stores","3,488","3,642","3,907","3,966","4,242","4,307","4,572","4,307","4,260","4,261","4,488","5,812","51,252",
446,Health and personal care stores,"25,538","26,171","27,682","26,302","26,802","26,623","25,749","27,014","26,229","25,678","25,775","29,608","319,171",
44611,Pharmacies and drug stores,"21,680","21,895","23,016","22,120","22,536","22,135","21,595","22,392","21,619","21,493","21,241","23,791","265,513",
447,Gasoline stations,"31,048","28,987","33,586","35,277","38,808","40,062","39,752","38,755","37,924","38,978","35,812","37,154","436,143",
448,Clothing and clothing access. stores,"15,753","19,011","21,555","20,493","21,752","20,251","20,759","22,479","19,904","20,626","23,800","34,824","261,207",
4481,Clothing stores,"11,629","13,188","15,945","15,042","15,763","15,067","15,367","16,179","14,855","15,527","17,763","24,003","190,328",
44811,Men's clothing stores,604,672,767,792,839,783,686,729,747,759,805,"1,098","9,281",
44812,Women's clothing stores,"2,413","2,865","3,565","3,429","3,513","3,156","3,058","3,298","3,083","3,182","3,612","4,577","39,751",
44814,Family clothing stores,"6,055","6,842","8,448","7,971","8,458","8,181","8,666","8,796","8,049","8,666","9,732","13,365","103,229",
44819,Other clothing stores,"1,265","1,367","1,483","1,378","1,341","1,424","1,345","1,575","1,404","1,320","1,713","2,264","17,879",
4482,Shoe stores,"2,163","2,945","3,238","2,915","2,952","2,779","3,073","3,898","2,790","2,750","3,084","4,316","36,903",
44831,Jewelry stores,"1,769","2,637","2,129","2,276","2,768","2,189","2,088","2,181","2,042","2,123","2,705","6,050","30,957",
451,"Sporting goods, hobby, musical instrument, and book stores","6,427","5,844","6,923","6,499","6,695","7,214","6,913","7,792","6,733","6,291","7,594","11,441","86,366",
45111,Sporting goods stores,"3,104","3,235","4,075","3,792","3,939","4,631","4,314","4,302","3,587","3,395","3,870","5,837","48,081",
45112,"Hobby, toy, and game stores","1,191","1,221","1,374","1,250","1,243","1,188","1,239","1,239","1,315","1,428","2,234","3,432","18,354",
451211,Book stores,"1,424",687,681,671,741,677,652,"1,496","1,037",688,718,"1,244","10,716",
452,General merchandise stores,"49,678","51,619","56,375","53,822","56,662","55,680","55,976","56,578","52,143","55,817","61,665","76,698","682,713",
4521,Department stores,"10,199","11,074","12,568","11,647","12,238","12,296","11,850","12,735","11,409","11,934","14,892","21,358","154,200",
452111,Department stores(excl. discount department stores),"3,162","3,727","4,289","4,076","4,228","4,085","3,851","3,920","3,902","3,921","5,214","8,536","52,911",
452112,Discount dept. stores,"7,037","7,347","8,279","7,571","8,010","8,211","7,999","8,815","7,507","8,013","9,678","12,822","101,289",
