Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2004,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2004,Feb. 2004,Mar. 2004,Apr. 2004,May 2004,Jun. 2004,Jul. 2004,Aug. 2004,Sep. 2004,Oct. 2004,Nov. 2004,Dec. 2004,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","281,460","282,444","319,077","315,191","328,408","321,044","328,000","326,317","313,524","319,726","324,259","387,155","3,846,605",,
,Retail sales and food services excl motor vehicle and parts,"220,314","217,214","240,415","241,939","250,917","245,689","249,163","249,940","239,944","250,981","259,038","314,679","2,980,233",,
,Retail sales and food services excl gasoline stations,"258,687","259,890","293,475","288,984","299,830","292,641","298,714","297,588","286,173","290,182","296,583","359,852","3,522,599",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"197,541","194,660","214,813","215,732","222,339","217,286","219,877","221,211","212,593","221,437","231,362","287,376","2,656,227",,
,"Retail sales, total","252,818","253,689","287,944","284,325","296,253","289,664","294,875","294,133","282,974","287,468","294,278","354,627","3,473,048",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","191,672","188,459","209,282","211,073","218,762","214,309","216,038","217,756","209,394","218,723","229,057","282,151","2,606,676",,
,GAFO(1),"70,448","72,295","77,591","77,093","80,595","77,927","79,732","83,081","76,941","81,807","92,634","133,747","1,003,891",,
441,Motor vehicle and parts dealers,"61,146","65,230","78,662","73,252","77,491","75,355","78,837","76,377","73,580","68,745","65,221","72,476","866,372",,
"4411,4412",Automobile and other motor vehicle dealers,"56,235","60,208","72,817","67,574","71,922","69,485","72,936","70,514","68,038","63,129","59,803","66,928","799,589",,
4411,Automobile dealers,"52,917","56,122","66,693","61,142","65,214","62,812","66,631","65,194","63,519","58,913","56,199","62,718","738,074",,
44111,New car dealers,"47,864","50,584","60,638","55,578","59,332","57,264","60,858","59,246","57,973","53,128","50,718","57,370","670,553",,
44112,Used car dealers,"5,053","5,538","6,055","5,564","5,882","5,548","5,773","5,948","5,546","5,785","5,481","5,348","67,521",,
4413,"Automotive parts, acc., and tire stores","4,911","5,022","5,845","5,678","5,569","5,870","5,901","5,863","5,542","5,616","5,418","5,548","66,783",,
"442,443","Furniture, home furn, electronics, and appliance stores","15,277","15,022","16,161","15,050","15,595","16,192","16,723","17,093","16,164","16,431","19,031","25,031","203,770",,
442,Furniture and home furnishings stores,"7,651","7,613","8,499","7,991","8,112","8,443","8,895","8,883","8,441","8,718","9,594","10,917","103,757",,
4421,Furniture stores,"4,365","4,335","4,638","4,307","4,458","4,573","4,846","4,786","4,525","4,683","5,012","5,321","55,849",,
4422,Home furnishings stores,"3,286","3,278","3,861","3,684","3,654","3,870","4,049","4,097","3,916","4,035","4,582","5,596","47,908",,
44221,Floor covering stores,"1,439","1,523","1,814","1,749","1,646","1,785","1,825","1,832","1,851","1,860","1,828","1,755","20,907",,
442299,All other home furnishings stores,"1,747","1,657","1,931","1,820","1,893","1,960","2,105","2,149","1,956","2,051","2,623","3,687","25,579",,
443,Electronics and appliance stores,"7,626","7,409","7,662","7,059","7,483","7,749","7,828","8,210","7,723","7,713","9,437","14,114","100,013",,
443141,Household appliance stores,"1,158","1,147","1,277","1,203","1,290","1,341","1,312","1,299","1,250","1,278","1,412","1,641","15,608",,
443142,Electronics stores,"6,468","6,262","6,385","5,856","6,193","6,408","6,516","6,911","6,473","6,435","8,025","12,473","84,405",,
444,Building mat. and garden equip. and supplies dealers,"18,081","17,862","24,942","28,261","28,431","28,623","26,162","25,578","25,136","24,833","24,035","23,330","295,274",,
4441,Building mat. and supplies dealers,"16,526","16,258","21,879","23,351","23,595","24,738","23,341","23,253","22,852","22,415","21,872","21,120","261,200",,
44412,Paint and wallpaper stores,569,582,757,780,807,865,837,829,758,755,695,646,"8,880",,
44413,Hardware stores,"1,197","1,138","1,421","1,636","1,801","1,736","1,689","1,571","1,535","1,496","1,489","1,591","18,300",,
