Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2002,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2002,Feb. 2002,Mar. 2002,Apr. 2002,May 2002,Jun. 2002,Jul. 2002,Aug. 2002,Sep. 2002,Oct. 2002,Nov. 2002,Dec. 2002,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","255,598","253,086","285,261","284,747","300,402","288,854","295,433","307,256","273,189","287,540","290,705","337,006","3,459,077",,
,Retail sales and food services excl motor vehicle and parts,"195,033","190,149","215,490","213,955","228,248","217,787","219,025","227,673","208,039","221,211","230,116","273,540","2,640,266",,
,Retail sales and food services excl gasoline stations,"238,094","236,382","265,428","263,641","278,174","267,188","272,452","284,125","251,811","265,275","269,818","316,070","3,208,458",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"177,529","173,445","195,657","192,849","206,020","196,121","196,044","204,542","186,661","198,946","209,229","252,604","2,389,647",,
,"Retail sales, total","230,546","228,084","257,133","257,357","271,682","260,385","266,795","277,716","246,350","259,945","263,738","308,821","3,128,552",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","169,981","165,147","187,362","186,565","199,528","189,318","190,387","198,133","181,200","193,616","203,149","245,355","2,309,741",,
,GAFO(1),"63,242","64,043","73,116","69,137","74,799","72,042","70,434","78,050","68,301","73,606","85,664","120,273","912,707",,
441,Motor vehicle and parts dealers,"60,565","62,937","69,771","70,792","72,154","71,067","76,408","79,583","65,150","66,329","60,589","63,466","818,811",,
"4411,4412",Automobile and other motor vehicle dealers,"55,799","58,319","64,656","65,420","66,622","65,644","70,738","73,817","60,031","60,823","55,631","58,689","756,189",,
4411,Automobile dealers,"52,948","54,817","60,116","60,242","61,020","60,575","65,824","69,228","56,437","57,414","52,483","55,578","706,682",,
44111,New car dealers,"48,146","49,591","54,904","54,982","55,678","55,376","60,595","63,686","51,582","52,271","47,747","51,201","645,759",,
44112,Used car dealers,"4,802","5,226","5,212","5,260","5,342","5,199","5,229","5,542","4,855","5,143","4,736","4,377","60,923",,
4413,"Automotive parts, acc., and tire stores","4,766","4,618","5,115","5,372","5,532","5,423","5,670","5,766","5,119","5,506","4,958","4,777","62,622",,
"442,443","Furniture, home furn, electronics, and appliance stores","14,342","13,916","15,029","13,882","15,047","14,591","14,716","15,755","14,231","14,809","17,191","22,137","185,646",,
442,Furniture and home furnishings stores,"7,149","7,091","7,777","7,370","7,991","7,502","7,671","8,205","7,456","7,859","8,839","9,528","94,438",,
4421,Furniture stores,"4,097","4,112","4,448","4,110","4,403","4,150","4,150","4,371","4,047","4,182","4,677","4,517","51,264",,
4422,Home furnishings stores,"3,052","2,979","3,329","3,260","3,588","3,352","3,521","3,834","3,409","3,677","4,162","5,011","43,174",,
44221,Floor covering stores,"1,409","1,420","1,576","1,608","1,684","1,586","1,606","1,738","1,592","1,671","1,627","1,508","19,025",,
442299,All other home furnishings stores,"1,534","1,471","1,662","1,556","1,801","1,667","1,803","1,984","1,720","1,899","2,420","3,380","22,897",,
443,Electronics and appliance stores,"7,193","6,825","7,252","6,512","7,056","7,089","7,045","7,550","6,775","6,950","8,352","12,609","91,208",,
443141,Household appliance stores,"1,085","1,036","1,152","1,160","1,194","1,209","1,285","1,204","1,111","1,157","1,228","1,384","14,205",,
443142,Electronics stores,"6,108","5,789","6,100","5,352","5,862","5,880","5,760","6,346","5,664","5,793","7,124","11,225","77,003",,
444,Building mat. and garden equip. and supplies dealers,"16,519","15,999","19,179","24,464","25,657","23,283","22,545","21,540","20,167","21,694","19,520","17,972","248,539",,
4441,Building mat. and supplies dealers,"14,957","14,458","16,873","20,038","20,917","19,357","19,721","19,365","18,240","19,474","17,593","16,191","217,184",,
44412,Paint and wallpaper stores,566,553,631,709,760,737,790,788,705,744,597,516,"8,096",,
44413,Hardware stores,"1,154","1,094","1,292","1,534","1,685","1,600","1,555","1,467","1,322","1,403","1,398","1,458","16,962",,
445,Food and beverage stores,"37,662","35,215","39,485","36,629","40,390","38,715","39,773","39,918","37,068","38,461","39,501","42,039","464,856",,
4451,Grocery stores,"34,533","32,024","35,863","33,190","36,478","34,933","35,885","36,025","33,610","34,885","35,649","36,738","419,813",,
44511,Supermarkets and other grocery (except convenience) stores,"32,836","30,391","34,034","31,360","34,485","32,932","33,849","34,044","31,689","32,973","33,812","34,867","397,272",,
4453,"Beer, wine, and liquor stores","2,114","2,109","2,366","2,300","2,569","2,486","2,568","2,595","2,297","2,401","2,601","3,488","29,894",,
446,Health and personal care stores,"14,467","13,995","15,040","14,865","15,395","14,424","14,884","15,060","14,432","15,298","14,934","17,189","179,983",,
44611,Pharmacies and drug stores,"12,471","11,952","12,802","12,627","13,143","12,303","12,644","12,784","12,393","13,143","12,901","14,773","153,936",,
447,Gasoline stations,"17,504","16,704","19,833","21,106","22,228","21,666","22,981","23,131","21,378","22,265","20,887","20,936","250,619",,
448,Clothing and clothing access. stores,"10,344","11,730","13,977","13,195","14,150","13,210","12,873","15,113","12,445","14,006","15,911","25,350","172,304",,
4481,Clothing stores,"7,468","7,971","10,178","9,517","9,882","9,530","9,338","10,804","9,139","10,461","11,703","16,843","122,834",,
44811,Men's clothing stores,540,534,657,632,665,650,592,695,604,669,761,"1,113","8,112",,
44812,Women's clothing stores,"1,987","2,159","2,779","2,680","2,755","2,478","2,260","2,538","2,373","2,531","2,740","3,966","31,246",,
44814,Family clothing stores,"3,594","3,849","5,054","4,725","4,980","4,952","5,033","5,841","4,700","5,638","6,529","9,394","64,289",,
44819,Other clothing stores,677,653,749,673,700,710,640,673,624,728,751,"1,188","8,766",,
4482,Shoe stores,"1,463","1,655","2,073","1,943","2,026","1,899","1,869","2,440","1,694","1,778","1,880","2,481","23,201",,
44831,Jewelry stores,"1,294","1,989","1,600","1,614","2,105","1,655","1,542","1,733","1,492","1,651","2,193","5,770","24,638",,
451,"Sporting goods, hobby, musical instrument, and book stores","5,394","4,483","5,214","4,958","5,215","5,194","5,150","6,184","5,419","5,173","6,697","10,131","69,212",,
45111,Sporting goods stores,"1,739","1,763","2,167","2,157","2,141","2,276","2,177","2,384","1,998","1,897","2,133","3,387","26,219",,
45112,"Hobby, toy, and game stores",896,966,"1,186","1,014","1,078","1,065","1,103","1,087","1,048","1,347","2,468","3,651","16,909",,
451211,Book stores,"1,971","1,000","1,008",966,"1,116","1,045","1,038","1,797","1,490",997,"1,059","1,950","15,437",,
452,General merchandise stores,"30,066","30,877","35,941","34,282","37,336","36,269","34,750","37,482","33,120","36,322","42,500","57,575","446,520",,
4521,Department stores,"14,536","15,102","17,916","17,156","18,339","17,449","16,449","18,307","15,831","17,523","21,076","31,059","220,743",,
452111,Department stores(excl. discount department stores),"5,314","5,701","6,940","6,539","7,030","6,540","6,080","7,020","6,186","6,815","8,650","14,042","86,857",,
452112,Discount dept. stores,"9,222","9,401","10,976","10,617","11,309","10,909","10,369","11,287","9,645","10,708","12,426","17,017","133,886",,
4529,Other general merchandise stores,"15,530",15775,18025,"17,126","18,997","18,820","18,301","19,175","17,289","18,799","21,424","26,516","225,777",,
45291,Warehouse clubs and superstores,"13,164","13,396","15,287","14,467","16,085","16,024","15,619","16,358","14,713","15,895","18,153","22,091","191,252",,
45299,All other gen. merchandise stores,"2,366","2,379","2,738","2,659","2,912","2,796","2,682","2,817","2,576","2,904","3,271","4,425","34,525",,
453,Miscellaneous store retailers,"7,782","7,905","7,974","8,079","8,965","8,326","8,407","9,083","8,222","8,743","8,434","10,863","102,783",,
4532,"Office supplies, stationery, and gift stores","3,096","3,037","2,955","2,820","3,051","2,778","2,945","3,516","3,086","3,296","3,365","5,080","39,025",,
45321,Office supplies and stationery stores,"2,042","1,734","1,722","1,616","1,567","1,403","1,531","2,012","1,778","1,764","1,701","2,091","20,961",,
45322,"Gift, novelty, and souvenir stores","1,054","1,303","1,233","1,204","1,484","1,375","1,414","1,504","1,308","1,532","1,664","2,989","18,064",,
45330,Used merchandise stores,870,793,812,782,749,765,783,811,742,761,753,879,"9,500",,
454,Nonstore retailers,"15,901","14,323","15,690","15,105","15,145","13,640","14,308","14,867","14,718","16,845","17,574","21,163","189,279",,
4541,Electronic shopping and mail-order houses,"9,912","8,925","9,670","9,684","9,713","8,969","9,478","9,845","9,678","10,738","11,412","14,190","122,214",,
45431,Fuel dealers,"2,826","2,303","2,197","1,746","1,571","1,306","1,399","1,510","1,599","2,083","2,314","3,127","23,981",,
722,Food services and drinking places,"25,052","25,002","28,128","27,390","28,720","28,469","28,638","29,540","26,839","27,595","26,967","28,185","330,525",,
7224,Drinking places,"1,289","1,274","1,430","1,343","1,405","1,372","1,426","1,431","1,297","1,349","1,347","1,367","16,330",,
7225,Restaurants and other eating places,"21,704","21,637","24,344","23,605","24,811","24,606","24,997","25,724","22,920","23,567","23,141","24,436","285,492",,
722511,Full service restaurants,"11,462","11,355","12,630","12,076","12,790","12,620","12,810","13,294","11,694","12,084","11,964","12,758","147,537",,
"722513, 722514, 722515",Limited service eating places,"10,242","10,282","11,714","11,529","12,021","11,986","12,187","12,430","11,226","11,483","11,177","11,678","137,955",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","283,508","285,054","284,262","288,833","284,951","287,372","290,385","292,650","288,410","289,576","291,484","293,947",,,
,Retail sales and food services excl motor vehicle and parts,"215,843","216,886","217,692","220,582","219,889","220,018","220,441","220,446","220,344","222,023","223,553","224,153",,,
,Retail sales and food services excl gasoline stations,"264,378","265,986","264,449","267,977","264,021","266,639","268,947","271,468","267,138","267,917","269,475","271,483",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"196,713","197,818","197,879","199,726","198,959","199,285","199,003","199,264","199,072","200,364","201,544","201,689",,,
,"Retail sales, total","256,307","257,670","257,059","261,333","257,573","259,786","262,769","265,043","260,626","261,953","263,568","265,930",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","188,642","189,502","190,489","193,082","192,511","192,432","192,825","192,839","192,560","194,400","195,637","196,136",,,
,GAFO(1),"75,476","75,931","76,102","76,418","75,939","76,171","75,517","75,877","75,532","76,904","76,841","77,092",,,
441,Motor vehicle and parts dealers,"67,665","68,168","66,570","68,251","65,062","67,354","69,944","72,204","68,066","67,553","67,931","69,794",,,
"4411,4412",Automobile and other motor vehicle dealers,"62,485","62,979","61,460","63,025","59,858","62,104","64,660","66,924","62,794","62,319","62,718","64,635",,,
4413,"Automotive parts, acc., and tire stores","5,180","5,189","5,110","5,226","5,204","5,250","5,284","5,280","5,272","5,234","5,213","5,159",,,
"442,443","Furniture, home furn, electronics, and appliance stores","15,451","15,575","15,626","15,490","15,637","15,487","15,284","15,357","15,343","15,311","15,508","15,587",,,
442,Furniture and home furnishings stores,"7,847","7,932","7,936","7,874","7,959","7,831","7,741","7,837","7,832","7,789","7,963","7,927",,,
443,Electronics and appliance stores,"7,604","7,643","7,690","7,616","7,678","7,656","7,543","7,520","7,511","7,522","7,545","7,660",,,
444,Building mat. and garden equip. and supplies dealers,"20,359","20,515","20,370","21,274","20,874","20,725","20,674","20,683","20,732","20,603","20,969","20,415",,,
4441,Building mat. and supplies dealers,"17,743","17,849","17,836","18,692","18,252","18,040","18,010","18,081","18,149","18,048","18,307","17,871",,,
445,Food and beverage stores,"38,833","38,885","38,913","38,568","38,713","38,723","38,834","38,647","38,599","38,693","38,886","39,072",,,
4451,Grocery stores,"35,130","35,114","35,160","34,827","34,941","34,933","35,044","34,874","34,865","34,990","35,157","35,257",,,
4453,"Beer, wine and liquor stores","2,493","2,532","2,517","2,503","2,511","2,511","2,505","2,481","2,467","2,438","2,454","2,526",,,
