Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2000,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2000,Feb. 2000,Mar. 2000,Apr. 2000,May 2000,Jun. 2000,Jul. 2000,Aug. 2000,Sep. 2000,Oct. 2000,Nov. 2000,Dec. 2000,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","236,422","250,580","279,515","264,417","283,706","281,288","271,146","283,944","269,155","270,899","276,507","319,958","3,287,537",,
,Retail sales and food services excl motor vehicle and parts,"177,649","183,688","204,448","198,431","210,656","208,286","203,886","212,094","203,320","207,094","218,058","263,717","2,491,327",,
,Retail sales and food services excl gasoline stations,"218,729","232,286","258,696","244,649","262,492","259,046","248,882","261,806","247,487","249,187","255,609","298,852","3,037,721",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"159,956","165,394","183,629","178,663","189,442","186,044","181,622","189,956","181,652","185,382","197,160","242,611","2,241,511",,
,"Retail sales, total","213,709","227,087","253,717","239,051","257,581","255,066","244,445","257,487","243,624","245,167","252,145","294,197","2,983,276",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","154,936","160,195","178,650","173,065","184,531","182,064","177,185","185,637","177,789","181,362","193,696","237,956","2,187,066",,
,GAFO(1),"57,190","60,334","67,532","66,185","69,726","68,326","66,631","72,694","67,939","68,835","81,436","115,911","862,739",,
441,Motor vehicle and parts dealers,"58,773","66,892","75,067","65,986","73,050","73,002","67,260","71,850","65,835","63,805","58,449","56,241","796,210",,
"4411,4412",Automobile and other motor vehicle dealers,"54,082","62,015","69,456","60,834","67,449","67,296","61,915","66,022","60,378","58,515","53,412","51,397","732,771",,
4411,Automobile dealers,"51,413","58,828","64,815","56,524","62,467","62,396","57,942","62,020","56,972","55,319","50,547","48,539","687,782",,
44111,New car dealers,"47,032","53,501","59,381","51,683","57,481","57,235","52,953","56,931","52,112","50,745","46,458","44,611","630,123",,
44112,Used car dealers,"4,381","5,327","5,434","4,841","4,986","5,161","4,989","5,089","4,860","4,574","4,089","3,928","57,659",,
4413,"Automotive parts, acc., and tire stores","4,691","4,877","5,611","5,152","5,601","5,706","5,345","5,828","5,457","5,290","5,037","4,844","63,439",,
"442,443","Furniture, home furn, electronics, and appliance stores","13,840","14,126","14,999","13,845","14,614","14,439","14,417","15,369","14,546","14,430","16,344","20,623","181,592",,
442,Furniture and home furnishings stores,"6,638","6,989","7,622","7,134","7,635","7,487","7,508","7,974","7,535","7,667","8,346","8,635","91,170",,
4421,Furniture stores,"3,897","4,072","4,363","4,032","4,256","4,175","4,205","4,340","4,201","4,157","4,485","4,434","50,617",,
4422,Home furnishings stores,"2,741","2,917","3,259","3,102","3,379","3,312","3,303","3,634","3,334","3,510","3,861","4,201","40,553",,
44221,Floor covering stores,"1,370","1,451","1,709","1,563","1,719","1,721","1,606","1,802","1,650","1,768","1,710","1,450","19,519",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"7,202","7,137","7,377","6,711","6,979","6,952","6,909","7,395","7,011","6,763","7,998","11,988","90,422",,
443141,Household appliance stores,926,929,"1,013",962,"1,108","1,119","1,037","1,088","1,031","1,045","1,124","1,248","12,630",,
443142,Electronics stores,"6,276","6,208","6,364","5,749","5,871","5,833","5,872","6,307","5,980","5,718","6,874","10,740","77,792",,
444,Building mat. and garden equip. and supplies dealers,"15,381","16,170","19,956","20,044","23,003","21,690","19,639","20,171","18,751","19,482","17,816","16,891","228,994",,
4441,Building mat. and supplies dealers,"13,314","14,047","17,061","16,665","18,953","18,499","17,261","17,919","16,546","17,228","15,650","14,506","197,649",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,"1,071","1,033","1,312","1,425","1,593","1,547","1,440","1,429","1,324","1,322","1,303","1,380","16,179",,
445,Food and beverage stores,"34,190","33,507","36,459","36,321","37,627","37,469","38,160","37,768","36,768","36,614","37,629","42,252","444,764",,
4451,Grocery stores,"31,336","30,515","33,216","33,004","34,085","33,880","34,517","34,225","33,324","33,190","33,969","37,254","402,515",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,920","1,976","2,190","2,132","2,357","2,413","2,463","2,422","2,358","2,352","2,549","3,375","28,507",,
446,Health and personal care stores,"11,960","12,151","12,957","12,427","13,237","12,813","12,526","13,021","12,598","13,063","13,047","15,434","155,234",,
44611,Pharmacies and drug stores,"10,071","10,132","10,818","10,458","11,110","10,680","10,520","10,945","10,587","11,085","11,105","13,346","130,857",,
447,Gasoline stations,"17,693","18,294","20,819","19,768","21,214","22,242","22,264","22,138","21,668","21,712","20,898","21,106","249,816",,
448,Clothing and clothing access. stores,"9,447","11,170","12,841","13,124","13,735","12,953","12,500","14,610","13,375","13,369","15,675","24,875","167,674",,
4481,Clothing stores,"6,683","7,470","9,283","9,420","9,496","9,156","8,872","10,340","9,683","9,823","11,492","16,379","118,097",,
44811,Men's clothing stores,635,611,707,759,770,750,719,789,751,787,897,"1,332","9,507",,
44812,Women's clothing stores,"1,682","1,991","2,670","2,706","2,810","2,564","2,382","2,640","2,658","2,648","2,823","3,873","31,447",,
44814,Family clothing stores,"3,272","3,627","4,460","4,525","4,577","4,527","4,437","5,183","4,672","4,859","6,082","8,692","58,913",,
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4482,Shoe stores,"1,396","1,587","1,901","2,005","1,962","1,878","1,849","2,363","1,855","1,737","1,857","2,485","22,875",,
44831,Jewelry stores,"1,244","1,979","1,500","1,560","2,126","1,771","1,632","1,757","1,694","1,670","2,159","5,729","24,821",,
451,"Sporting goods, hobby, musical instrument, and book stores","4,698","4,527","5,122","4,937","5,239","5,345","5,174","5,892","5,533","4,934","6,126","10,065","67,592",,
45111,Sporting goods stores,"1,591","1,681","2,065","1,991","2,187","2,319","2,237","2,257","2,007","1,725","1,939","3,309","25,308",,
45112,"Hobby, toy, and game stores",893,"1,002","1,106","1,136","1,072","1,098","1,124","1,132","1,175","1,285","2,161","3,763","16,947",,
451211,Book stores,"1,505","1,090","1,031",975,"1,104","1,122","1,048","1,594","1,406","1,014","1,098","1,892","14,879",,
452,General merchandise stores,"25,958","27,165","31,168","31,170","32,968","32,516","31,535","33,283","31,125","32,672","39,623","55,045","404,228",,
4521,Department stores,"14,728","15,413","17,867","18,184","18,976","18,156","17,353","18,742","17,269","18,016","23,454","34,317","232,475",,
452111,Department stores(excl. discount department stores),"5,738","6,335","7,339","7,351","7,680","7,180","6,798","7,651","7,250","7,478","9,881","15,601","96,282",,
452112,Discount dept. stores,"8,990","9,078","10,528","10,833","11,296","10,976","10,555","11,091","10,019","10,538","13,573","18,716","136,193",,
4529,Other general merchandise stores,"11,230",11752,13301,"12,986","13,992","14,360","14,182","14,541","13,856","14,656","16,169","20,728","171,753",,
45291,Warehouse clubs and superstores,"9,180","9,472","10,742","10,509","11,339","11,721","11,587","11,873","11,343","11,996","13,143","16,709","139,614",,
45299,All other gen. merchandise stores,"2,050","2,280","2,559","2,477","2,653","2,639","2,595","2,668","2,513","2,660","3,026","4,019","32,139",,
453,Miscellaneous store retailers,"7,983","8,873","9,011","8,336","9,043","8,810","8,301","8,971","8,662","8,769","8,893","11,067","106,719",,
4532,"Office supplies, stationery, and gift stores","3,247","3,346","3,402","3,109","3,170","3,073","3,005","3,540","3,360","3,430","3,668","5,303","41,653",,
45321,Office supplies and stationery stores,"2,098","1,977","2,029","1,736","1,766","1,703","1,611","2,128","2,019","1,920","1,767","1,994","22,748",,
45322,"Gift, novelty, and souvenir stores","1,149","1,369","1,373","1,373","1,404","1,370","1,394","1,412","1,341","1,510","1,901","3,309","18,905",,
45330,Used merchandise stores,682,872,852,812,818,762,864,850,755,769,812,984,"9,832",,
454,Nonstore retailers,"13,786","14,212","15,318","13,093","13,851","13,787","12,669","14,414","14,763","16,317","17,645","20,598","180,453",,
4541,Electronic shopping and mail-order houses,"8,087","8,074","9,425","8,409","8,692","8,865","8,229","9,297","9,442","10,324","11,388","13,558","113,790",,
45431,Fuel dealers,"2,920","2,988","2,289","1,741","1,704","1,593","1,471","1,723","1,963","2,250","2,458","3,592","26,692",,
722,Food services and drinking places,"22,713","23,493","25,798","25,366","26,125","26,222","26,701","26,457","25,531","25,732","24,362","25,761","304,261",,
7224,Drinking places,"1,196","1,251","1,414","1,291","1,293","1,289","1,320","1,313","1,265","1,233","1,187","1,278","15,330",,
7225,Restaurants and other eating places,"19,529","20,158","22,082","21,836","22,364","22,510","22,983","22,724","21,790","22,051","20,967","22,104","261,098",,
722511,Full service restaurants,"10,045","10,482","11,410","11,187","11,339","11,279","11,695","11,527","11,205","11,395","10,693","11,322","133,579",,
"722513, 722514, 722515",Limited service eating places,"9,484","9,676","10,672","10,649","11,025","11,231","11,288","11,197","10,585","10,656","10,274","10,782","127,519",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","268,044","272,020","275,192","271,046","271,394","273,422","272,630","272,918","277,548","276,927","276,029","275,791",,,
,Retail sales and food services excl motor vehicle and parts,"200,365","202,935","206,759","205,234","205,613","206,784","207,425","207,607","210,698","210,719","211,384","212,267",,,
,Retail sales and food services excl gasoline stations,"248,686","251,806","254,373","251,139","251,152","252,537","251,725","252,344","256,221","255,515","254,123","253,667",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"181,007","182,721","185,940","185,327","185,371","185,899","186,520","187,033","189,371","189,307","189,478","190,143",,,
,"Retail sales, total","243,436","247,133","249,825","245,831","246,201","248,160","247,176","247,576","251,837","251,221","250,331","250,658",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","175,757","178,048","181,392","180,019","180,420","181,522","181,971","182,265","184,987","185,013","185,686","187,134",,,
,GAFO(1),"69,301","70,315","71,353","71,448","71,848","71,416","71,720","72,071","72,972","72,800","72,823","72,269",,,
441,Motor vehicle and parts dealers,"67,679","69,085","68,433","65,812","65,781","66,638","65,205","65,311","66,850","66,208","64,645","63,524",,,
"4411,4412",Automobile and other motor vehicle dealers,"62,306","63,801","63,027","60,592","60,492","61,345","59,995","60,075","61,360","61,017","59,479","58,207",,,
4413,"Automotive parts, acc., and tire stores","5,373","5,284","5,406","5,220","5,289","5,293","5,210","5,236","5,490","5,191","5,166","5,317",,,
"442,443","Furniture, home furn, electronics, and appliance stores","15,089","15,222","15,251","15,542","15,284","15,028","15,145","15,122","15,253","15,153","14,972","14,506",,,
442,Furniture and home furnishings stores,"7,484","7,548","7,599","7,729","7,673","7,593","7,748","7,682","7,665","7,737","7,580","7,160",,,
443,Electronics and appliance stores,"7,605","7,674","7,652","7,813","7,611","7,435","7,397","7,440","7,588","7,416","7,392","7,346",,,
444,Building mat. and garden equip. and supplies dealers,"19,613","19,193","20,175","18,986","18,941","18,878","18,982","18,951","18,926","18,965","18,689","19,356",,,
4441,Building mat. and supplies dealers,"16,789","16,429","17,268","16,500","16,510","16,414","16,502","16,305","16,253","16,392","16,018","16,447",,,
445,Food and beverage stores,"35,613","35,980","36,559","37,008","36,717","37,175","37,038","37,110","37,308","37,476","37,700","38,033",,,
4451,Grocery stores,"32,239","32,567","33,117","33,541","33,221","33,644","33,479","33,554","33,729","33,867","34,071","34,558",,,
4453,"Beer, wine and liquor stores","2,259","2,290","2,327","2,297","2,355","2,384","2,401","2,417","2,416","2,450","2,475","2,344",,,
446,Health and personal care stores,"12,381","12,386","12,580","12,733","12,814","12,864","12,967","13,034","13,233","13,302","13,340","13,527",,,
44611,Pharmacies and drug stores,"10,350","10,265","10,544","10,704","10,766","10,799","10,947","11,022","11,132","11,242","11,286","11,759",,,
447,Gasoline stations,"19,358","20,214","20,819","19,907","20,242","20,885","20,905","20,574","21,327","21,412","21,906","22,124",,,
448,Clothing and clothing access. stores,"13,301","13,532","13,818","13,801","14,027","13,864","13,722","14,072","14,366","14,231","14,294","14,084",,,
4481,Clothing stores,"9,267","9,445","9,750","9,700","9,858","9,738","9,594","9,902","10,119","10,049","10,173","9,978",,,
44811,Men's clothing stores,786,786,800,791,800,777,808,787,807,791,788,778,,,
44812,Women's clothing stores,"2,323","2,434","2,654","2,587","2,669","2,638","2,647","2,680","2,729","2,699","2,673","2,608",,,
4482,Shoe stores,"1,881","1,885","1,911","1,900","1,899","1,889","1,868","1,918","1,940","1,921","1,928","1,888",,,
44831,Jewelry stores,"1,997","2,044","1,992","2,039","2,109","2,081","2,100","2,097","2,152","2,103","2,039","2,071",,,
451,"Sporting goods, hobby, musical instrument, and book stores","5,232","5,541","5,635","5,649","5,757","5,686","5,800","5,633","5,728","5,626","5,615","5,601",,,
452,General merchandise stores,"32,179","32,576","33,105","32,879","33,339","33,408","33,586","33,823","34,146","34,280","34,458","34,734",,,
4521,Department stores,"19,204","19,158","19,227","19,208","19,397","19,217","19,132","19,203","19,362","19,319","19,529","19,677",,,
4529,Other general merchandise stores,"12,975","13,418","13,878","13,671","13,942","14,191","14,454","14,620","14,784","14,961","14,929","15,057",,,
45291,Warehouse clubs and superstores,"10,373","10,764","11,201","11,039","11,294","11,525","11,728","11,909","12,041","12,266","12,249","12,395",,,
45299,All other gen. merchandise stores,"2,602","2,654","2,677","2,632","2,648","2,666","2,726","2,711","2,743","2,695","2,680","2,662",,,
453,Miscellaneous stores retailers,"9,136","9,163","9,189","9,056","8,760","8,785","8,789","8,666","8,925","8,870","8,829","8,631",,,
454,Nonstore retailers,"13,855","14,241","14,261","14,458","14,539","14,949","15,037","15,280","15,775","15,698","15,883","16,538",,,
4541,Electronic shopping and mail order houses,"8,743","8,786","9,133","9,343","9,026","9,391","9,502","9,634","9,856","9,917","10,069","10,318",,,
45431,Fuel dealers,"1,929","2,191","1,855","2,017","2,152","2,222","2,236","2,279","2,475","2,356","2,370","2,789",,,
722,Food services and drinking places,"24,608","24,887","25,367","25,215","25,193","25,262","25,454","25,342","25,711","25,706","25,698","25,133",,,
,,,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,,,
