Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1999,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1999,Feb. 1999,Mar. 1999,Apr. 1999,May 1999,Jun. 1999,Jul. 1999,Aug. 1999,Sep. 1999,Oct. 1999,Nov. 1999,Dec. 1999,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","218,126","220,650","253,550","250,783","262,113","260,918","262,051","265,089","253,905","258,040","264,106","317,659","3,086,990",,
,Retail sales and food services excl motor vehicle and parts,"165,591","163,598","185,818","185,914","194,291","191,552","193,716","195,625","189,333","195,657","204,250","257,441","2,322,786",,
,Retail sales and food services excl gasoline stations,"203,011","206,380","237,252","233,582","244,205","242,995","242,931","245,811","235,346","239,073","245,874","298,006","2,874,466",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"150,476","149,328","169,520","168,713","176,383","173,629","174,596","176,347","170,774","176,690","186,018","237,788","2,110,262",,
,"Retail sales, total","196,810","199,451","230,230","227,109","237,462","236,830","236,992","240,478","230,665","233,193","240,857","293,013","2,803,090",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","144,275","142,399","162,498","162,240","169,640","167,464","168,657","171,014","166,093","170,810","181,001","232,795","2,038,886",,
,GAFO(1),"54,153","54,729","62,946","61,662","65,302","64,293","64,020","67,768","64,037","66,533","76,342","113,880","815,665",,
441,Motor vehicle and parts dealers,"52,535","57,052","67,732","64,869","67,822","69,366","68,335","69,464","64,572","62,383","59,856","60,218","764,204",,
"4411,4412",Automobile and other motor vehicle dealers,"48,047","52,525","62,492","59,528","62,574","63,824","62,813","63,954","59,134","56,986","54,569","55,109","701,555",,
4411,Automobile dealers,"46,157","49,827","58,761","55,504","58,227","59,612","58,918","60,447","56,079","53,895","51,987","52,406","661,820",,
44111,New car dealers,"42,042","45,230","53,840","50,680","53,277","54,565","54,023","55,555","51,570","49,379","47,695","48,311","606,167",,
44112,Used car dealers,"4,115","4,597","4,921","4,824","4,950","5,047","4,895","4,892","4,509","4,516","4,292","4,095","55,653",,
4413,"Automotive parts, acc., and tire stores","4,488","4,527","5,240","5,341","5,248","5,542","5,522","5,510","5,438","5,397","5,287","5,109","62,649",,
"442,443","Furniture, home furn, electronics, and appliance stores","12,558","12,261","13,614","12,784","13,256","13,658","14,014","14,375","14,008","14,117","15,878","21,134","171,657",,
442,Furniture and home furnishings stores,"5,922","5,996","6,790","6,481","6,684","6,853","6,961","7,240","7,139","7,339","8,006","8,883","84,294",,
4421,Furniture stores,"3,590","3,552","3,941","3,607","3,796","3,818","3,893","3,962","3,976","4,036","4,303","4,548","47,022",,
4422,Home furnishings stores,"2,332","2,444","2,849","2,874","2,888","3,035","3,068","3,278","3,163","3,303","3,703","4,335","37,272",,
44221,Floor covering stores,"1,182","1,288","1,534","1,592","1,463","1,599","1,594","1,657","1,649","1,674","1,642","1,535","18,409",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"6,636","6,265","6,824","6,303","6,572","6,805","7,053","7,135","6,869","6,778","7,872","12,251","87,363",,
443141,Household appliance stores,842,814,943,926,950,"1,105","1,200","1,019",989,997,"1,051","1,246","12,082",,
443142,Electronics stores,"5,794","5,451","5,881","5,377","5,622","5,700","5,853","6,116","5,880","5,781","6,821","11,005","75,281",,
444,Building mat. and garden equip. and supplies dealers,"13,949","14,508","17,711","19,541","20,560","20,511","19,363","19,000","18,459","18,709","18,190","17,789","218,290",,
4441,Building mat. and supplies dealers,"12,020","12,508","15,156","16,239","16,717","17,403","16,977","16,878","16,299","16,470","16,032","15,217","187,916",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,"1,100","1,003","1,206","1,411","1,492","1,444","1,386","1,297","1,283","1,293","1,291","1,380","15,586",,
445,Food and beverage stores,"34,300","32,175","35,502","35,121","37,055","35,791","37,981","36,105","35,734","36,164","35,833","41,938","433,699",,
4451,Grocery stores,"31,516","29,413","32,451","31,948","33,727","32,568","34,568","32,944","32,624","32,935","32,510","37,046","394,250",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,866","1,808","1,986","2,099","2,210","2,145","2,339","2,140","2,126","2,219","2,273","3,265","26,476",,
446,Health and personal care stores,"11,015","10,820","11,954","11,596","11,823","11,766","11,679","11,647","11,429","11,839","12,013","15,118","142,699",,
44611,Pharmacies and drug stores,"9,406","9,246","10,168","9,881","10,054","9,972","9,874","9,834","9,721","10,087","10,155","12,884","121,282",,
447,Gasoline stations,"15,115","14,270","16,298","17,201","17,908","17,923","19,120","19,278","18,559","18,967","18,232","19,653","212,524",,
448,Clothing and clothing access. stores,"9,237","10,171","12,081","12,386","13,167","12,280","12,461","13,734","12,357","12,948","14,643","24,286","159,751",,
4481,Clothing stores,"6,559","6,871","8,673","8,903","9,171","8,624","8,817","9,712","8,917","9,427","10,528","15,479","111,681",,
44811,Men's clothing stores,684,610,708,812,803,791,723,789,714,802,896,"1,335","9,667",,
44812,Women's clothing stores,"1,745","1,883","2,507","2,616","2,687","2,405","2,303","2,407","2,353","2,440","2,564","3,639","29,549",,
44814,Family clothing stores,"3,062","3,253","4,101","4,152","4,375","4,182","4,476","4,926","4,389","4,724","5,528","8,150","55,318",,
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4482,Shoe stores,"1,420","1,543","1,897","1,913","2,006","1,908","1,934","2,283","1,788","1,741","1,782","2,475","22,690",,
44831,Jewelry stores,"1,155","1,650","1,392","1,457","1,863","1,623","1,585","1,606","1,520","1,641","2,165","6,034","23,691",,
451,"Sporting goods, hobby, musical instrument, and book stores","4,661","4,133","4,804","4,654","4,779","5,088","4,884","5,396","5,062","4,852","5,896","9,863","64,072",,
45111,Sporting goods stores,"1,485","1,469","1,827","1,888","1,993","2,215","2,062","2,143","1,847","1,711","1,832","3,227","23,699",,
45112,"Hobby, toy, and game stores",933,966,"1,135","1,076","1,061","1,101","1,083","1,101","1,111","1,277","2,096","3,711","16,651",,
451211,Book stores,"1,514",990,976,933,976,"1,031","1,023","1,386","1,240","1,019","1,088","1,996","14,172",,
452,General merchandise stores,"24,585","25,109","29,278","28,895","31,201","30,329","29,811","30,955","29,382","31,357","36,231","53,046","380,179",,
4521,Department stores,"14,480","15,239","17,851","17,704","18,935","17,955","17,549","18,510","17,383","18,513","22,213","33,972","230,304",,
452111,Department stores(excl. discount department stores),"5,647","6,197","7,401","7,290","7,746","7,178","7,012","7,697","7,300","7,749","9,560","15,875","96,652",,
452112,Discount dept. stores,"8,833","9,042","10,450","10,414","11,189","10,777","10,537","10,813","10,083","10,764","12,653","18,097","133,652",,
4529,Other general merchandise stores,"10,105",9870,11427,"11,191","12,266","12,374","12,262","12,445","11,999","12,844","14,018","19,074","149,875",,
45291,Warehouse clubs and superstores,"8,081","7,758","8,990","8,799","9,708","9,839","9,768","9,944","9,585","10,214","11,120","15,003","118,809",,
45299,All other gen. merchandise stores,"2,024","2,112","2,437","2,392","2,558","2,535","2,494","2,501","2,414","2,630","2,898","4,071","31,066",,
453,Miscellaneous store retailers,"7,392","7,934","8,380","8,227","8,509","8,544","8,240","8,606","8,420","8,426","9,190","12,350","104,218",,
4532,"Office supplies, stationery, and gift stores","3,112","3,055","3,169","2,943","2,899","2,938","2,850","3,308","3,228","3,259","3,694","5,551","40,006",,
45321,Office supplies and stationery stores,"2,018","1,812","1,815","1,649","1,571","1,611","1,517","1,966","1,965","1,772","1,796","2,108","21,600",,
45322,"Gift, novelty, and souvenir stores","1,094","1,243","1,354","1,294","1,328","1,327","1,333","1,342","1,263","1,487","1,898","3,443","18,406",,
45330,Used merchandise stores,639,783,782,731,724,759,749,784,722,848,804,"1,052","9,377",,
454,Nonstore retailers,"11,463","11,018","12,876","11,835","11,382","11,574","11,104","11,918","12,683","13,431","14,895","17,618","151,797",,
4541,Electronic shopping and mail-order houses,"6,491","6,391","7,595","7,128","6,925","7,222","6,964","7,514","8,033","8,552","9,604","11,863","94,282",,
45431,Fuel dealers,"2,256","1,798","2,011","1,495","1,303","1,222","1,186","1,275","1,420","1,682","1,821","2,443","19,912",,
722,Food services and drinking places,"21,316","21,199","23,320","23,674","24,651","24,088","25,059","24,611","23,240","24,847","23,249","24,646","283,900",,
7224,Drinking places,"1,102","1,140","1,291","1,247","1,207","1,196","1,256","1,205","1,177","1,263","1,185","1,261","14,530",,
7225,Restaurants and other eating places,"18,497","18,325","20,112","20,462","21,272","20,725","21,695","21,274","19,977","21,373","19,960","21,089","244,761",,
722511,Full service restaurants,"9,535","9,467","10,334","10,520","10,740","10,503","11,031","10,888","10,250","11,004","10,182","10,654","125,108",,
"722513, 722514, 722515",Limited service eating places,"8,962","8,858","9,778","9,942","10,532","10,222","10,664","10,386","9,727","10,369","9,778","10,435","119,653",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","246,868","249,520","250,667","252,477","254,735","255,449","257,456","260,230","261,317","261,818","264,965","269,863",,,
,Retail sales and food services excl motor vehicle and parts,"186,333","188,260","189,026","190,327","191,524","191,997","192,947","194,517","196,167","197,299","198,696","203,954",,,
,Retail sales and food services excl gasoline stations,"230,474","233,211","234,138","235,362","237,549","238,379","239,752","242,095","242,978","243,186","245,973","249,768",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"169,939","171,951","172,497","173,212","174,338","174,927","175,243","176,382","177,828","178,667","179,704","183,859",,,
,"Retail sales, total","223,997","226,250","227,417","229,037","231,235","231,903","233,948","236,566","237,481","237,553","240,544","245,485",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","163,462","164,990","165,776","166,887","168,024","168,451","169,439","170,853","172,331","173,034","174,275","179,576",,,
,GAFO(1),"65,588","66,370","66,986","66,679","67,258","67,977","67,628","68,238","68,951","68,942","69,078","70,314",,,
441,Motor vehicle and parts dealers,"60,535","61,260","61,641","62,150","63,211","63,452","64,509","65,713","65,150","64,519","66,269","65,909",,,
"4411,4412",Automobile and other motor vehicle dealers,"55,418","56,116","56,554","56,965","58,046","58,287","59,314","60,563","59,792","59,175","60,835","60,559",,,
4413,"Automotive parts, acc., and tire stores","5,117","5,144","5,087","5,185","5,165","5,165","5,195","5,150","5,358","5,344","5,434","5,350",,,
"442,443","Furniture, home furn, electronics, and appliance stores","13,617","13,791","13,947","13,989","14,114","14,272","14,332","14,428","14,702","14,724","14,622","14,744",,,
442,Furniture and home furnishings stores,"6,617","6,767","6,831","6,794","6,884","6,986","6,954","7,147","7,292","7,324","7,272","7,246",,,
443,Electronics and appliance stores,"7,000","7,024","7,116","7,195","7,230","7,286","7,378","7,281","7,410","7,400","7,350","7,498",,,
444,Building mat. and garden equip. and supplies dealers,"17,732","17,943","17,760","17,791","17,914","17,969","18,183","18,341","18,175","18,606","18,944","19,125",,,
4441,Building mat. and supplies dealers,"15,139","15,366","15,340","15,334","15,407","15,442","15,661","15,803","15,687","16,006","16,309","16,451",,,
445,Food and beverage stores,"35,447","35,707","35,652","36,013","36,060","35,872","36,126","36,117","36,411","36,271","36,300","37,665",,,
4451,Grocery stores,"32,225","32,465","32,419","32,700","32,776","32,633","32,891","32,878","33,121","32,968","32,972","34,270",,,
4453,"Beer, wine and liquor stores","2,145","2,158","2,145","2,219","2,201","2,167","2,190","2,193","2,229","2,235","2,231","2,267",,,
446,Health and personal care stores,"11,415","11,498","11,595","11,619","11,741","11,837","11,857","11,848","11,993","12,155","12,258","12,801",,,
