Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1999,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1999,Feb. 1999,Mar. 1999,Apr. 1999,May 1999,Jun. 1999,Jul. 1999,Aug. 1999,Sep. 1999,Oct. 1999,Nov. 1999,Dec. 1999,TOTAL,,
44611,Pharmacies and drug stores,"9,687","9,763","9,862","9,921","10,014","10,124","10,096","10,076","10,190","10,324","10,299","10,882",,,
447,Gasoline stations,"16,394","16,309","16,529","17,115","17,186","17,070","17,704","18,135","18,339","18,632","18,992","20,095",,,
448,Clothing and clothing access. stores,"12,897","12,920","13,075","13,139","13,373","13,373","13,270","13,404","13,381","13,400","13,416","13,573",,,
4481,Clothing stores,"9,024","9,072","9,186","9,293","9,427","9,386","9,281","9,410","9,391","9,373","9,371","9,388",,,
44811,Men's clothing stores,825,812,805,863,828,831,802,799,784,785,790,778,,,
44812,Women's clothing stores,"2,407","2,423","2,512","2,537","2,542","2,510","2,484","2,464","2,436","2,428","2,435","2,420",,,
4482,Shoe stores,"1,911","1,893","1,884","1,870","1,920","1,939","1,902","1,893","1,888","1,864","1,868","1,886",,,
44831,Jewelry stores,"1,833","1,825","1,873","1,844","1,891","1,912","1,954","1,959","1,959","2,013","2,021","2,144",,,
451,"Sporting goods, hobby, musical instrument, and book stores","5,122","5,292","5,273","5,277","5,328","5,367","5,326","5,290","5,385","5,373","5,414","5,455",,,
452,General merchandise stores,"30,664","31,094","31,390","31,009","31,165","31,652","31,549","31,806","32,152","32,085","32,161","33,101",,,
4521,Department stores,"19,059","19,351","19,372","19,075","19,032","19,270","19,203","19,191","19,343","19,256","19,116","19,249",,,
4529,Other general merchandise stores,"11,605","11,743","12,018","11,934","12,133","12,382","12,346","12,615","12,809","12,829","13,045","13,852",,,
45291,Warehouse clubs and superstores,"9,059","9,192","9,453","9,381","9,565","9,790","9,788","10,034","10,219","10,194","10,432","11,188",,,
45299,All other gen. merchandise stores,"2,546","2,551","2,565","2,553","2,568","2,592","2,558","2,581","2,590","2,635","2,613","2,664",,,
453,Miscellaneous stores retailers,"8,454","8,615","8,503","8,590","8,585","8,481","8,350","8,519","8,597","8,661","9,058","9,489",,,
454,Nonstore retailers,"11,720","11,821","12,052","12,345","12,558","12,558","12,742","12,965","13,196","13,127","13,110","13,528",,,
4541,Electronic shopping and mail order houses,"7,102","7,388","7,345","7,535","7,618","7,699","7,860","8,054","8,231","8,335","8,216","8,572",,,
45431,Fuel dealers,"1,485","1,394","1,665","1,620","1,705","1,707","1,726","1,728","1,764","1,793","1,739","1,808",,,
722,Food services and drinking places,"22,871","23,270","23,250","23,440","23,500","23,546","23,508","23,664","23,836","24,265","24,421","24,378",,,
,,,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
