Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1993,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1993,Feb. 1993,Mar. 1993,Apr. 1993,May 1993,Jun. 1993,Jul. 1993,Aug. 1993,Sep. 1993,Oct. 1993,Nov. 1993,Dec. 1993,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","153,221","150,087","170,439","176,456","182,231","181,535","183,682","183,318","177,406","182,737","187,443","224,540","2,153,095",,
,Retail sales and food services excl motor vehicle and parts,"121,021","117,300","131,181","135,401","140,841","138,540","140,704","141,612","137,132","142,450","148,461","185,536","1,680,179",,
,Retail sales and food services excl gasoline stations,"140,694","138,027","157,276","163,079","168,142","167,536","169,235","169,197","164,030","168,776","173,923","210,804","1,990,719",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"108,494","105,240","118,018","122,024","126,752","124,541","126,257","127,491","123,756","128,489","134,941","171,800","1,517,803",,
,"Retail sales, total","137,020","134,462","153,025","158,615","163,519","162,964","164,590","163,989","159,298","163,992","169,980","206,174","1,937,628",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","104,820","101,675","113,767","117,560","122,129","119,969","121,612","122,283","119,024","123,705","130,998","167,170","1,464,712",,
,GAFO(1),"36,694","35,872","41,191","43,631","45,350","44,410","44,915","47,477","45,182","47,654","55,243","83,163","570,782",,
441,Motor vehicle and parts dealers,"32,200","32,787","39,258","41,055","41,390","42,995","42,978","41,706","40,274","40,287","38,982","39,004","472,916",,
"4411,4412",Automobile and other motor vehicle dealers,"29,054","29,613","35,641","37,254","37,595","39,040","38,923","37,643","36,378","36,354","35,206","35,405","428,106",,
