Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2010,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2010,Feb. 2010,Mar. 2010,Apr. 2010,May 2010,Jun. 2010,Jul. 2010,Aug. 2010,Sep. 2010,Oct. 2010,Nov. 2010,Dec. 2010,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","314,557","310,925","360,679","356,333","365,605","358,604","361,939","362,627","345,999","355,209","365,828","426,663","4,284,968",,
,Retail sales and food services excl motor vehicle and parts,"264,687","259,103","293,231","291,965","300,362","293,904","294,933","296,553","284,345","293,823","306,998","362,151","3,542,055",,
,Retail sales and food services excl gasoline stations,"280,412","279,037","323,445","318,036","326,437","320,396","322,885","324,086","308,829","316,729","328,755","387,572","3,836,619",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"230,542","227,215","255,997","253,668","261,194","255,696","255,879","258,012","247,175","255,343","269,925","323,060","3,093,706",,
,"Retail sales, total","279,044","275,566","321,305","316,940","324,820","319,183","320,915","322,319","307,638","315,059","328,381","386,878","3,818,048",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","229,174","223,744","253,857","252,572","259,577","254,483","253,909","256,245","245,984","253,673","269,551","322,366","3,075,135",,
,GAFO(1),"79,913","81,419","89,806","86,903","91,304","88,173","89,423","93,182","85,680","89,244","102,647","136,680","1,114,374",,
441,Motor vehicle and parts dealers,"49,870","51,822","67,448","64,368","65,243","64,700","67,006","66,074","61,654","61,386","58,830","64,512","742,913",,
"4411,4412",Automobile and other motor vehicle dealers,"44,566","46,213","60,806","57,767","58,792","57,777","60,194","59,027","54,920","54,589","52,325","57,998","664,974",,
4411,Automobile dealers,"42,162","43,455","56,506","53,010","54,203","53,074","55,880","55,146","51,581","51,489","49,417","55,257","621,180",,
44111,New car dealers,"37,035","37,155","49,926","47,053","48,346","46,879","49,697","48,858","45,610","45,366","43,813","49,735","549,473",,
44112,Used car dealers,"5,127","6,300","6,580","5,957","5,857","6,195","6,183","6,288","5,971","6,123","5,604","5,522","71,707",,
4413,"Automotive parts, acc., and tire stores","5,304","5,609","6,642","6,601","6,451","6,923","6,812","7,047","6,734","6,797","6,505","6,514","77,939",,
"442,443","Furniture, home furn, electronics, and appliance stores","13,963","14,322","15,044","13,891","14,545","14,876","15,203","15,467","14,755","14,116","17,115","21,497","184,794",,
442,Furniture and home furnishings stores,"6,324","6,468","7,271","6,729","6,932","6,902","7,243","7,330","7,101","6,793","7,630","8,482","85,205",,
4421,Furniture stores,"3,683","3,834","4,091","3,675","3,965","3,749","3,964","3,997","3,933","3,714","4,009","4,050","46,664",,
4422,Home furnishings stores,"2,641","2,634","3,180","3,054","2,967","3,153","3,279","3,333","3,168","3,079","3,621","4,432","38,541",,
44221,Floor covering stores,993,"1,085","1,264","1,245","1,121","1,351","1,318","1,381","1,295","1,245","1,165","1,110","14,573",,
442299,All other home furnishings stores,"1,563","1,467","1,812","1,715","1,749","1,709","1,867","1,861","1,780","1,739","2,362","3,244","22,868",,
443,Electronics and appliance stores,"7,639","7,854","7,773","7,162","7,613","7,974","7,960","8,137","7,654","7,323","9,485","13,015","99,589",,
443141,Household appliance stores,"1,112","1,130","1,223","1,245","1,365","1,344","1,355","1,291","1,226","1,192","1,460","1,513","15,456",,
443142,Electronics stores,"6,527","6,724","6,550","5,917","6,248","6,630","6,605","6,846","6,428","6,131","8,025","11,502","84,133",,
444,Building mat. and garden equip. and supplies dealers,"15,348","15,469","21,691","26,688","26,238","25,451","23,100","21,698","21,261","21,883","21,462","20,277","260,566",,
4441,Building mat. and supplies dealers,"13,738","13,750","19,009","21,771","21,871","21,652","20,304","19,349","18,915","18,985","18,714","17,654","225,712",,
44412,Paint and wallpaper stores,466,484,670,703,727,791,774,784,736,682,638,517,"7,972",,
44413,Hardware stores,"1,272","1,227","1,512","1,730","1,825","1,714","1,614","1,502","1,455","1,524","1,631","1,700","18,706",,
445,Food and beverage stores,"47,072","44,275","48,123","47,050","49,655","47,813","49,732","48,357","47,478","48,583","48,842","53,550","580,530",,
4451,Grocery stores,"42,985","40,061","43,434","42,236","44,607","42,877","44,559","43,431","42,642","43,536","43,724","46,658","520,750",,
44511,Supermarkets and other grocery (except convenience) stores,"41,185","38,400","41,542","40,354","42,658","40,944","42,598","41,357","40,710","41,591","41,897","44,770","498,006",,
4453,"Beer, wine, and liquor stores","2,878","2,916","3,214","3,310","3,467","3,438","3,657","3,454","3,365","3,497","3,524","4,681","41,401",,
