Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2014,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2014,Feb. 2014,Mar. 2014,Apr. 2014,May 2014,Jun. 2014,Jul. 2014,Aug. 2014,Sep. 2014,Oct. 2014,Nov. 2014,Dec. 2014,TOTAL,
444,Building mat. and garden equip. and supplies dealers,"19,680","18,789","24,093","30,122","33,411","30,052","28,620","26,418","26,170","27,299","24,806","24,037","313,497",
4441,Building mat. and supplies dealers,"17,508","16,669","20,528","24,331","27,023","25,330","25,269","23,553","23,415","24,039","21,658","20,757","270,080",
44412,Paint and wallpaper stores,625,619,795,894,961,972,"1,042",980,962,945,723,699,"10,217",
44413,Hardware stores,"1,661","1,569","1,862","1,965","2,182","2,022","1,999","1,937","1,895","2,060","1,913","1,924","22,989",
445,Food and beverage stores,"54,132","49,991","54,396","54,270","57,854","55,339","57,477","57,384","54,386","56,944","57,019","61,344","670,536",
4451,Grocery stores,"49,275","45,225","49,148","48,847","51,911","49,596","51,528","51,466","49,003","51,196","51,168","53,135","601,498",
44511,Supermarkets and other grocery (except convenience) stores,"47,421","43,368","47,067","46,711","49,589","47,306","49,114","49,035","46,779","49,011","49,114","51,160","575,675",
4453,"Beer, wine, and liquor stores","3,333","3,261","3,596","3,643","4,096","3,966","4,166","4,139","3,736","4,003","4,012","5,444","47,395",
446,Health and personal care stores,"23,911","22,543","24,366","24,138","24,865","24,127","24,490","24,528","24,495","25,361","23,961","28,799","295,584",
44611,Pharmacies and drug stores,"20,417","18,932","20,259","20,384","20,817","20,168","20,643","20,357","20,413","21,365","19,909","23,675","247,339",
447,Gasoline stations,"42,657","40,679","46,399","47,371","50,670","48,714","49,893","49,451","46,258","46,248","40,979","37,745","547,064",
448,Clothing and clothing access. stores,"15,220","17,552","20,118","20,370","21,626","19,006","19,885","22,055","18,692","20,267","23,551","32,760","251,102",
4481,Clothing stores,"11,095","12,111","14,871","15,019","15,668","14,066","14,708","15,922","13,911","15,245","17,857","22,772","183,245",
44811,Men's clothing stores,593,660,729,815,834,733,684,722,726,793,841,"1,121","9,251",
44812,Women's clothing stores,"2,439","2,787","3,501","3,555","3,722","3,139","3,134","3,407","3,202","3,437","3,808","4,888","41,019",
44814,Family clothing stores,"5,695","6,246","7,780","7,914","8,270","7,478","8,121","8,540","7,425","8,291","9,862","12,284","97,906",
44819,Other clothing stores,"1,184","1,135","1,308","1,209","1,271","1,275","1,188","1,350","1,065","1,162","1,478","1,980","15,605",
4482,Shoe stores,"2,021","2,619","2,890","2,852","2,837","2,534","2,809","3,652","2,500","2,603","2,896","3,812","34,025",
44831,Jewelry stores,"1,900","2,608","2,156","2,303","2,871","2,205","2,171","2,278","2,086","2,225","2,587","5,757","31,147",
451,"Sporting goods, hobby, musical instrument, and book stores","5,966","5,357","6,244","6,171","6,416","6,451","6,498","8,105","6,666","6,398","7,658","11,721","83,651",
45111,Sporting goods stores,"2,720","2,801","3,550","3,517","3,678","3,931","3,839","4,382","3,516","3,432","3,897","5,832","45,095",
45112,"Hobby, toy, and game stores","1,020","1,091","1,221","1,204","1,178","1,088","1,186","1,189","1,254","1,358","2,140","3,507","17,436",
451211,Book stores,"1,479",727,680,679,789,698,702,"1,698","1,067",725,729,"1,335","11,308",
452,General merchandise stores,"47,523","49,093","54,213","53,043","57,191","54,165","53,958","57,401","50,987","54,994","62,264","75,782","670,614",
4521,Department stores,"10,625","11,630","13,278","13,111","14,031","13,019","12,739","14,190","12,169","13,213","16,864","23,909","168,778",
452111,Department stores(excl. discount department stores),"3,416","4,018","4,589","4,588","4,954","4,439","4,157","4,636","4,213","4,553","6,256","9,600","59,419",
452112,Discount dept. stores,"7,209","7,612","8,689","8,523","9,077","8,580","8,582","9,554","7,956","8,660","10,608","14,309","109,359",
4529,Other general merchandise stores,"36,898",37463,40935,"39,932","43,160","41,146","41,219","43,211","38,818","41,781","45,400","51,873","501,836",
45291,Warehouse clubs and superstores,"32,389","32,621","35,795","34,661","37,496","35,791","35,863","37,892","33,739","36,249","39,599","44,654","436,749",
45299,All other gen. merchandise stores,"4,509","4,842","5,140","5,271","5,664","5,355","5,356","5,319","5,079","5,532","5,801","7,219","65,087",
453,Miscellaneous store retailers,"8,094","8,173","8,929","8,974","10,564","9,706","9,866","10,112","9,666","10,507","9,574","11,128","115,293",
4532,"Office supplies, stationery, and gift stores","2,477","2,404","2,451","2,437","2,554","2,411","2,710","3,168","2,766","3,259","2,535","3,515","32,687",
45321,Office supplies and stationery stores,"1,474","1,280","1,337","1,249","1,192","1,080","1,241","1,679","1,375","1,233","1,149","1,372","15,661",
45322,"Gift, novelty, and souvenir stores","1,003","1,124","1,114","1,188","1,362","1,331","1,469","1,489","1,391","2,026","1,386","2,143","17,026",
45330,Used merchandise stores,"1,090","1,136","1,313","1,304","1,330","1,281","1,381","1,403","1,346","1,462","1,297","1,281","15,624",
454,Nonstore retailers,"37,481","34,852","37,550","35,921","35,901","35,240","35,936","35,917","36,663","39,004","42,629","57,088","464,182",
4541,Electronic shopping and mail-order houses,"27,458","25,698","29,047","29,021","29,441","29,340","29,985","29,993","30,474","31,992","35,481","49,078","377,008",
45431,Fuel dealers,"6,624","5,829","4,862","3,091","2,318","1,993","2,033","2,064","2,324","2,889","3,414","4,186","41,627",
722,Food services and drinking places,"42,930","42,896","49,410","47,703","51,058","47,901","48,708","50,117","47,121","50,204","47,692","50,862","576,602",
7224,Drinking places,"1,643","1,627","1,895","1,731","1,895","1,753","1,740","1,817","1,724","1,866","1,728","1,775","21,194",
7225,Restaurants and other eating places,"37,569","37,333","43,202","41,442","44,376","42,081","42,953","44,039","40,402","43,070","41,334","44,699","502,500",
722511,Full service restaurants,"19,602","19,645","22,458","20,921","22,551","20,896","21,263","22,102","20,117","21,536","21,056","23,290","255,437",
"722513, 722514, 722515",Limited service eating places,"17,967","17,688","20,744","20,521","21,825","21,185","21,690","21,937","20,285","21,534","20,278","21,409","247,063",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","418,947","425,005","429,658","433,826","434,640","435,816","436,442","439,680","438,842","440,164","441,536","439,077",,
,Retail sales and food services excl motor vehicle and parts,"339,912","343,436","345,152","348,010","348,656","349,588","349,853","352,463","352,332","353,409","353,721","351,611",,
,Retail sales and food services excl gasoline stations,"371,812","377,483","382,790","386,738","387,853","390,032","390,627","393,807","393,402","395,652","397,895","398,578",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"292,777","295,914","298,284","300,922","301,869","303,804","304,038","306,590","306,892","308,897","310,080","311,112",,
,"Retail sales, total","373,033","378,581","382,601","386,689","387,100","388,106","388,359","391,305","389,860","390,506","391,805","388,569",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","293,998","297,012","298,095","300,873","301,116","301,878","301,770","304,088","303,350","303,751","303,990","301,103",,
,GAFO(1),"100,549","102,125","102,550","103,648","102,996","103,098","103,455","104,413","103,785","104,429","104,928","104,922",,
441,Motor vehicle and parts dealers,"79,035","81,569","84,506","85,816","85,984","86,228","86,589","87,217","86,510","86,755","87,815","87,466",,
"4411,4412",Automobile and other motor vehicle dealers,"71,798","74,250","77,184","78,506","78,783","79,112","79,475","80,027","79,333","79,563","80,225","80,308",,
4413,"Automotive parts, acc., and tire stores","7,237","7,319","7,322","7,310","7,201","7,116","7,114","7,190","7,177","7,192","7,590","7,158",,
"442,443","Furniture, home furn, electronics, and appliance stores","16,309","16,636","16,851","16,915","16,760","16,697","16,799","17,004","17,101","17,094","17,385","17,517",,
442,Furniture and home furnishings stores,"7,808","8,111","8,254","8,366","8,347","8,369","8,380","8,517","8,442","8,484","8,577","8,739",,
443,Electronics and appliance stores,"8,501","8,525","8,597","8,549","8,413","8,328","8,419","8,487","8,659","8,610","8,808","8,778",,
444,Building mat. and garden equip. and supplies dealers,"24,872","24,817","25,282","26,122","26,465","26,620","26,084","26,569","26,494","26,463","26,602","26,268",,
4441,Building mat. and supplies dealers,"21,430","21,398","21,677","22,302","22,766","22,902","22,622","23,001","23,046","22,873","22,894","22,660",,
445,Food and beverage stores,"54,797","54,759","54,888","55,279","55,451","55,966","56,144","56,299","56,476","56,776","56,764","57,113",,
4451,Grocery stores,"49,128","49,158","49,246","49,591","49,771","50,148","50,370","50,506","50,728","50,941","50,964","51,190",,
4453,"Beer, wine and liquor stores","3,903","3,859","3,875","3,913","3,897","4,010","3,968","3,980","3,962","4,015","3,957","4,030",,
446,Health and personal care stores,"23,768","23,906","24,053","24,259","24,594","24,797","24,813","24,902","25,046","24,962","25,064","25,240",,
44611,Pharmacies and drug stores,"19,977","20,076","20,178","20,364","20,570","20,749","20,789","20,858","20,958","20,763","20,891","21,120",,
447,Gasoline stations,"47,135","47,522","46,868","47,088","46,787","45,784","45,815","45,873","45,440","44,512","43,641","40,499",,
448,Clothing and clothing access. stores,"20,517","20,543","20,667","21,161","20,765","20,799","20,918","21,035","20,830","21,121","21,394","21,296",,
4481,Clothing stores,"14,843","14,832","15,019","15,423","15,122","15,129","15,227","15,339","15,232","15,447","15,752","15,684",,
44811,Men's clothing stores,761,802,781,776,766,754,761,769,763,774,796,777,,
44812,Women's clothing stores,"3,360","3,399","3,402","3,402","3,408","3,354","3,410","3,445","3,414","3,410","3,471","3,504",,
4482,Shoe stores,"2,791","2,844","2,817","2,878","2,817","2,847","2,846","2,829","2,800","2,842","2,867","2,853",,
44831,Jewelry stores,"2,650","2,618","2,610","2,641","2,601","2,600","2,632","2,649","2,575","2,615","2,556","2,529",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,485","6,798","6,794","6,903","6,877","6,952","6,928","7,166","7,061","7,157","7,137","7,074",,
452,General merchandise stores,"54,538","55,390","55,469","55,963","55,960","55,952","56,067","56,433","56,032","56,249","56,338","56,388",,
4521,Department stores,"13,711","14,153","14,123","14,468","14,247","14,020","14,124","14,150","13,920","13,917","13,955","14,030",,
4529,Other general merchandise stores,"40,827","41,237","41,346","41,495","41,713","41,932","41,943","42,283","42,112","42,332","42,383","42,358",,
45291,Warehouse clubs and superstores,"35,553","35,887","36,047","36,105","36,298","36,484","36,483","36,788","36,633","36,838","36,905","36,813",,
45299,All other gen. merchandise stores,"5,274","5,350","5,299","5,390","5,415","5,448","5,460","5,495","5,479","5,494","5,478","5,545",,
453,Miscellaneous stores retailers,"9,251","9,387","9,473","9,344","9,535","9,599","9,623","9,743","9,719","9,904","9,828","9,800",,
454,Nonstore retailers,"36,326","37,254","37,750","37,839","37,922","38,712","38,579","39,064","39,151","39,513","39,837","39,908",,
4541,Electronic shopping and mail order houses,"28,722","29,572","30,289","30,613","30,764","31,719","31,497","31,874","32,078","32,578","32,671","33,183",,
45431,Fuel dealers,"3,945","3,992","3,816","3,521","3,283","3,225","3,263","3,271","3,192","3,031","3,289","2,969",,
722,Food services and drinking places,"45,914","46,424","47,057","47,137","47,540","47,710","48,083","48,375","48,982","49,658","49,731","50,508",,
,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
