Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1994,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1994,Feb. 1994,Mar. 1994,Apr. 1994,May 1994,Jun. 1994,Jul. 1994,Aug. 1994,Sep. 1994,Oct. 1994,Nov. 1994,Dec. 1994,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","161,349","162,841","192,319","189,569","194,927","197,946","193,355","202,388","193,954","197,956","202,520","241,111","2,330,235",,
,Retail sales and food services excl motor vehicle and parts,"124,850","123,634","143,525","141,977","147,862","148,644","147,625","154,061","147,603","151,778","158,908","198,627","1,789,094",,
,Retail sales and food services excl gasoline stations,"148,635","150,548","178,672","175,924","180,576","183,226","178,217","186,792","179,232","183,100","187,984","226,107","2,159,013",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"112,136","111,341","129,878","128,332","133,511","133,924","132,487","138,465","132,881","136,922","144,372","183,623","1,617,872",,
,"Retail sales, total","145,276","146,332","173,562","170,795","175,527","178,509","173,198","182,445","175,128","178,642","184,272","221,549","2,105,235",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","108,777","107,125","124,768","123,203","128,462","129,207","127,468","134,118","128,777","132,464","140,660","179,065","1,564,094",,
,GAFO(1),"38,169","38,988","46,882","46,029","47,711","48,452","47,407","52,037","48,961","51,601","60,091","90,019","616,347",,
441,Motor vehicle and parts dealers,"36,499","39,207","48,794","47,592","47,065","49,302","45,730","48,327","46,351","46,178","43,612","42,484","541,141",,
"4411,4412",Automobile and other motor vehicle dealers,"33,029","35,683","44,600","43,430","42,927","44,968","41,468","43,763","42,187","41,913","39,444","38,489","491,901",,
4411,Automobile dealers,"32,059","34,391","42,411","40,973","40,507","42,280","39,162","41,652","40,272","39,790","37,734","36,869","468,100",,
44111,New car dealers,"29,860","31,959","39,742","38,191","37,869","39,511","36,388","38,533","37,385","36,654","35,170","34,399","435,661",,
44112,Used car dealers,"2,199","2,432","2,669","2,782","2,638","2,769","2,774","3,119","2,887","3,136","2,564","2,470","32,439",,
4413,"Automotive parts, acc., and tire stores","3,470","3,524","4,194","4,162","4,138","4,334","4,262","4,564","4,164","4,265","4,168","3,995","49,240",,
"442,443","Furniture, home furn, electronics, and appliance stores","8,526","8,391","9,631","9,220","9,523","10,005","9,980","10,561","10,331","10,647","12,005","15,966","124,786",,
442,Furniture and home furnishings stores,"4,018","4,140","4,827","4,700","4,867","4,958","4,980","5,356","5,203","5,328","5,734","6,305","60,416",,
