Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2006,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2006,Feb. 2006,Mar. 2006,Apr. 2006,May 2006,Jun. 2006,Jul. 2006,Aug. 2006,Sep. 2006,Oct. 2006,Nov. 2006,Dec. 2006,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","318,546","314,051","361,993","351,667","373,560","366,615","362,203","375,795","346,214","348,796","356,928","417,991","4,294,359",,
,Retail sales and food services excl motor vehicle and parts,"252,809","246,599","279,239","275,487","292,043","286,016","281,314","292,798","273,214","278,431","289,416","346,996","3,394,362",,
,Retail sales and food services excl gasoline stations,"287,746","284,798","328,106","315,665","334,544","327,489","321,618","334,744","311,384","315,588","325,372","385,329","3,872,383",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"222,009","217,346","245,352","239,485","253,027","246,890","240,729","251,747","238,384","245,223","257,860","314,334","2,972,386",,
,"Retail sales, total","286,152","282,417","326,153","316,526","337,393","330,844","325,905","339,155","310,775","312,976","323,089","380,188","3,871,573",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","220,415","214,965","243,399","240,346","255,876","250,245","245,016","256,158","237,775","242,611","255,577","309,193","2,971,576",,
,GAFO(1),"78,420","79,008","86,862","85,932","89,166","88,412","86,913","92,998","87,134","88,479","102,281","144,550","1,110,155",,
441,Motor vehicle and parts dealers,"65,737","67,452","82,754","76,180","81,517","80,599","80,889","82,997","73,000","70,365","67,512","70,995","899,997",,
"4411,4412",Automobile and other motor vehicle dealers,"60,247","62,018","76,416","70,287","75,339","74,196","74,707","76,418","66,970","64,170","61,655","65,299","827,722",,
4411,Automobile dealers,"56,440","57,559","69,930","63,333","67,661","66,999","68,328","70,525","61,990","59,614","57,344","61,075","760,798",,
44111,New car dealers,"50,629","51,314","62,921","56,863","61,023","60,477","61,957","63,872","55,786","53,468","51,710","55,602","685,622",,
44112,Used car dealers,"5,811","6,245","7,009","6,470","6,638","6,522","6,371","6,653","6,204","6,146","5,634","5,473","75,176",,
4413,"Automotive parts, acc., and tire stores","5,490","5,434","6,338","5,893","6,178","6,403","6,182","6,579","6,030","6,195","5,857","5,696","72,275",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,370","16,693","18,092","16,346","17,583","17,956","17,695","18,991","17,881","17,236","20,534","26,509","222,886",,
442,Furniture and home furnishings stores,"8,595","8,457","9,412","8,556","9,209","9,447","9,244","9,940","9,511","9,178","10,195","11,051","112,795",,
4421,Furniture stores,"4,794","4,804","5,154","4,647","4,881","5,006","4,986","5,359","5,128","4,854","5,241","5,268","60,122",,
